协议编号,借据编号,还款期数,还款日期,实还利息,实还本金,还款金额,还款标志
260288489965,113,2,2018-07-25,22778.25,230083.33,252861.58,1
260288489965,113,3,2018-08-25,20707.50,230083.33,250790.83,1
260288489965,113,4,2018-09-25,18636.75,230083.33,248720.08,1
260288489965,113,5,2018-10-25,16566.00,230083.33,246649.33,1
260288489965,113,6,2018-11-25,14495.25,230083.33,244578.58,1
260288489965,113,7,2018-12-25,12424.50,230083.33,242507.83,1
260288489965,113,8,2019-01-25,10353.75,230083.33,240437.08,1
260288489965,113,9,2019-02-25,8283.00,230083.33,238366.33,1
260288489965,113,10,2019-03-25,6212.25,230083.33,236295.58,1
260288489965,113,11,2019-04-25,4141.50,230083.33,234224.83,1
181270894595,102,1,2018-03-12,5971.00,68387.98,74358.98,1
181270894595,102,2,2018-04-12,5492.28,68866.70,74358.98,1
181270894595,102,3,2018-05-12,5010.22,69348.76,74358.98,1
181270894595,102,4,2018-06-12,4524.78,69834.20,74358.98,1
181270894595,102,5,2018-07-12,4035.94,70323.04,74358.98,1
181270894595,102,6,2018-08-12,3543.68,70815.30,74358.98,1
181270894595,102,7,2018-09-12,3047.97,71311.01,74358.98,1
181270894595,102,8,2018-10-12,2548.79,71810.19,74358.98,1
160636118060,120,1,2018-03-16,1820.00,0.00,1820.00,1
160636118060,120,2,2018-04-16,1820.00,0.00,1820.00,1
160636118060,120,3,2018-05-16,1820.00,0.00,1820.00,1
160636118060,120,4,2018-06-16,1820.00,0.00,1820.00,1
160636118060,120,5,2018-07-16,1820.00,0.00,1820.00,1
160636118060,120,6,2018-08-16,1820.00,0.00,1820.00,1
160636118060,120,7,2018-09-16,1820.00,0.00,1820.00,1
111070424892,101,1,2018-06-25,990.00,0.00,990.00,1
111070424892,101,2,2018-07-25,990.00,0.00,990.00,1
111070424892,101,3,2018-08-25,990.00,0.00,990.00,1
111070424892,101,4,2018-09-25,990.00,0.00,990.00,1
111070424892,101,5,2018-10-25,990.00,0.00,990.00,1
111070424892,101,6,2018-11-25,990.00,0.00,990.00,1
111070424892,101,7,2018-12-25,990.00,0.00,990.00,1
111070424892,101,8,2019-01-25,990.00,0.00,990.00,1
111070424892,101,9,2019-02-25,990.00,0.00,990.00,1
111070424892,101,10,2019-03-25,990.00,0.00,990.00,1
111070424892,101,11,2019-04-25,990.00,0.00,990.00,1
111070424892,101,12,2019-05-25,990.00,0.00,990.00,1
111070424892,101,13,2019-06-25,990.00,0.00,990.00,1
190877888219,114,1,2018-06-01,6568.00,42587.79,49155.79,1
190877888219,114,2,2018-07-01,6227.30,42928.49,49155.79,1
190877888219,114,3,2018-08-01,5883.87,43271.92,49155.79,1
190877888219,114,4,2018-09-01,5537.69,43618.10,49155.79,1
190877888219,114,5,2018-10-01,5188.75,43967.04,49155.79,1
190877888219,114,6,2018-11-01,4837.01,44318.78,49155.79,1
300253070097,114,1,2018-08-21,2330.00,19416.63,21746.63,1
300253070097,114,2,2018-09-21,2135.83,19416.67,21552.50,1
300253070097,114,3,2018-10-21,1941.67,19416.67,21358.33,1
300253070097,114,4,2018-11-21,1747.50,19416.67,21164.17,1
300253070097,114,5,2018-12-21,1553.33,19416.67,20970.00,1
110725254819,107,1,2018-05-12,1631.00,38159.28,39790.28,1
110725254819,107,2,2018-06-12,1363.89,38426.39,39790.28,1
110725254819,107,3,2018-07-12,1094.90,38695.38,39790.28,1
110725254819,107,4,2018-08-12,824.03,38966.25,39790.28,1
110725254819,107,5,2018-09-12,551.27,39239.01,39790.28,1
110725254819,107,6,2018-10-12,276.59,39513.69,39790.28,1
181254466440,105,1,2018-08-28,7281.00,44944.52,52225.52,1
240502510431,106,1,2018-04-29,5350.00,44583.37,49933.37,1
240502510431,106,2,2018-05-29,4904.17,44583.33,49487.50,1
240502510431,106,3,2018-06-29,4458.33,44583.33,49041.67,1
260956222389,114,1,2018-04-30,98.00,1122.43,1220.43,1
260956222389,114,2,2018-05-30,90.14,1130.29,1220.43,1
260956222389,114,3,2018-06-30,82.23,1138.20,1220.43,1
260956222389,114,4,2018-07-30,74.26,1146.17,1220.43,1
260956222389,114,5,2018-08-30,66.24,1154.19,1220.43,1
260956222389,114,6,2018-09-30,58.16,1162.27,1220.43,1
260956222389,114,7,2018-10-30,50.03,1170.40,1220.43,1
260956222389,114,8,2018-11-30,41.83,1178.60,1220.43,1
260956222389,114,9,2018-12-30,33.58,1186.85,1220.43,1
260956222389,114,10,2019-01-30,25.27,1195.16,1220.43,1
260956222389,114,11,2019-02-28,16.91,1203.52,1220.43,1
260956222389,114,12,2019-03-30,8.51,1211.92,1220.43,1
060611467848,112,1,2018-04-08,1764.00,12250.00,14014.00,1
060611467848,112,2,2018-05-08,1690.50,12250.00,13940.50,1
060611467848,112,3,2018-06-08,1617.00,12250.00,13867.00,1
060611467848,112,4,2018-07-08,1543.50,12250.00,13793.50,1
060611467848,112,5,2018-08-08,1470.00,12250.00,13720.00,1
060611467848,112,6,2018-09-08,1396.50,12250.00,13646.50,1
060611467848,112,7,2018-10-08,1323.00,12250.00,13573.00,1
060611467848,112,8,2018-11-08,1249.50,12250.00,13499.50,1
060611467848,112,9,2018-12-08,1176.00,12250.00,13426.00,1
060611467848,112,10,2019-01-08,1102.50,12250.00,13352.50,1
060611467848,112,11,2019-02-08,1029.00,12250.00,13279.00,1
171306707836,104,1,2018-02-11,1284.00,17833.37,19117.37,1
200428477090,120,1,2018-04-30,11538.00,101488.03,113026.03,1
200428477090,120,2,2018-05-31,10929.07,102096.96,113026.03,1
200428477090,120,3,2018-06-30,10316.49,102709.54,113026.03,1
200428477090,120,4,2018-07-31,9700.23,103325.80,113026.03,1
200428477090,120,5,2018-08-31,9080.28,103945.75,113026.03,1
200428477090,120,6,2018-09-30,8456.60,104569.43,113026.03,1
200428477090,120,7,2018-10-31,7829.19,105196.84,113026.03,1
071362664367,113,1,2018-07-30,5586.00,36181.73,41767.73,1
071362664367,113,2,2018-08-30,5368.91,36398.82,41767.73,1
071362664367,113,3,2018-09-30,5150.52,36617.21,41767.73,1
071362664367,113,4,2018-10-30,4930.81,36836.92,41767.73,1
071362664367,113,5,2018-11-30,4709.79,37057.94,41767.73,1
071362664367,113,6,2018-12-30,4487.44,37280.29,41767.73,1
071362664367,113,7,2019-01-30,4263.76,37503.97,41767.73,1
071362664367,113,8,2019-02-28,4038.74,37728.99,41767.73,1
261059175351,106,1,2018-02-18,60.00,1980.13,2040.13,1
261059175351,106,2,2018-03-18,40.20,1999.93,2040.13,1
261059175351,106,3,2018-04-18,20.19,2019.94,2040.13,1
410034795122,101,1,2018-05-20,2820.00,19583.41,22403.41,1
410034795122,101,2,2018-06-20,2702.50,19583.33,22285.83,1
410034795122,101,3,2018-07-20,2585.00,19583.33,22168.33,1
410034795122,101,4,2018-08-20,2467.50,19583.33,22050.83,1
410034795122,101,5,2018-09-20,2350.00,19583.33,21933.33,1
181116476063,120,1,2018-04-12,340.00,5666.65,6006.65,1
181116476063,120,2,2018-05-12,283.33,5666.67,5950.00,1
181116476063,120,3,2018-06-12,226.67,5666.67,5893.33,1
181116476063,120,4,2018-07-12,170.00,5666.67,5836.67,1
181116476063,120,5,2018-08-12,113.33,5666.67,5780.00,1
181116476063,120,6,2018-09-12,56.67,5666.67,5723.33,1
070594711095,106,1,2018-05-10,2660.00,44333.35,46993.35,1
070594711095,106,2,2018-06-10,2216.67,44333.33,46550.00,1
070594711095,106,3,2018-07-10,1773.33,44333.33,46106.67,1
070594711095,106,4,2018-08-10,1330.00,44333.33,45663.33,1
070594711095,106,5,2018-09-10,886.67,44333.33,45220.00,1
180490906247,106,1,2018-06-03,280.00,5717.75,5997.75,1
261039944410,113,1,2018-07-10,7086.00,45897.56,52983.56,1
261039944410,113,2,2018-08-10,6810.61,46172.95,52983.56,1
261039944410,113,3,2018-09-10,6533.58,46449.98,52983.56,1
261039944410,113,4,2018-10-10,6254.88,46728.68,52983.56,1
261039944410,113,5,2018-11-10,5974.50,47009.06,52983.56,1
261039944410,113,6,2018-12-10,5692.45,47291.11,52983.56,1
261039944410,113,7,2019-01-10,5408.70,47574.86,52983.56,1
261039944410,113,8,2019-02-10,5123.25,47860.31,52983.56,1
261039944410,113,9,2019-03-10,4836.09,48147.47,52983.56,1
261039944410,113,10,2019-04-10,4547.21,48436.35,52983.56,1
261039944410,113,11,2019-05-10,4256.59,48726.97,52983.56,1
250868772473,101,1,2018-08-05,4368.00,0.00,4368.00,1
250868772473,101,2,2018-09-05,4368.00,0.00,4368.00,1
250868772473,101,3,2018-10-05,4368.00,0.00,4368.00,1
250868772473,101,4,2018-11-05,4368.00,0.00,4368.00,1
250868772473,101,5,2018-12-05,4368.00,0.00,4368.00,1
300685254388,120,1,2018-04-02,170.00,0.00,170.00,1
300685254388,120,2,2018-05-02,170.00,0.00,170.00,1
300685254388,120,3,2018-06-02,170.00,0.00,170.00,1
140661354524,101,1,2018-07-17,1176.00,0.00,1176.00,1
140661354524,101,2,2018-08-17,1176.00,0.00,1176.00,1
140661354524,101,3,2018-09-17,1176.00,0.00,1176.00,1
140661354524,101,4,2018-10-17,1176.00,0.00,1176.00,1
140661354524,101,5,2018-11-17,1176.00,0.00,1176.00,1
140661354524,101,6,2018-12-17,1176.00,0.00,1176.00,1
140661354524,101,7,2019-01-17,1176.00,0.00,1176.00,1
140661354524,101,8,2019-02-17,1176.00,0.00,1176.00,1
140661354524,101,9,2019-03-17,1176.00,0.00,1176.00,1
140661354524,101,10,2019-04-17,1176.00,0.00,1176.00,1
140661354524,101,11,2019-05-17,1176.00,0.00,1176.00,1
140661354524,101,12,2019-06-17,1176.00,147000.00,148176.00,1
120629593130,120,1,2018-05-17,17766.00,132795.77,150561.77,1
120629593130,120,2,2018-06-17,16836.43,133725.34,150561.77,1
120629593130,120,3,2018-07-17,15900.35,134661.42,150561.77,1
120629593130,120,4,2018-08-17,14957.72,135604.05,150561.77,1
120629593130,120,5,2018-09-17,14008.49,136553.28,150561.77,1
120629593130,120,6,2018-10-17,13052.62,137509.15,150561.77,1
120629593130,120,7,2018-11-17,12090.06,138471.71,150561.77,1
120629593130,120,8,2018-12-17,11120.75,139441.02,150561.77,1
120629593130,120,9,2019-01-17,10144.67,140417.10,150561.77,1
120629593130,120,10,2019-02-17,9161.75,141400.02,150561.77,1
120629593130,120,11,2019-03-17,8171.95,142389.82,150561.77,1
120629593130,120,12,2019-04-17,7175.22,143386.55,150561.77,1
120629593130,120,13,2019-05-17,6171.51,144390.26,150561.77,1
120629593130,120,14,2019-06-17,5160.78,145400.99,150561.77,1
120629593130,120,15,2019-07-17,4142.97,146418.80,150561.77,1
120629593130,120,16,2019-08-17,3118.04,147443.73,150561.77,1
120629593130,120,17,2019-09-17,2085.94,148475.83,150561.77,1
120629593130,120,18,2019-10-17,1046.61,149515.16,150561.77,1
230230155932,103,1,2018-07-21,54.00,500.00,554.00,1
121002999906,115,1,2018-08-03,27981.00,0.00,27981.00,1
121002999906,115,2,2018-09-03,27981.00,0.00,27981.00,1
121002999906,115,3,2018-10-03,27981.00,0.00,27981.00,1
121002999906,115,4,2018-11-03,27981.00,0.00,27981.00,1
121002999906,115,5,2018-12-03,27981.00,0.00,27981.00,1
121002999906,115,6,2019-01-03,27981.00,0.00,27981.00,1
290423168637,110,1,2018-08-15,5448.00,37833.41,43281.41,1
290423168637,110,2,2018-09-15,5221.00,37833.33,43054.33,1
290423168637,110,3,2018-10-15,4994.00,37833.33,42827.33,1
290423168637,110,4,2018-11-15,4767.00,37833.33,42600.33,1
290423168637,110,5,2018-12-15,4540.00,37833.33,42373.33,1
290423168637,110,6,2019-01-15,4313.00,37833.33,42146.33,1
290423168637,110,7,2019-02-15,4086.00,37833.33,41919.33,1
290423168637,110,8,2019-03-15,3859.00,37833.33,41692.33,1
290423168637,110,9,2019-04-15,3632.00,37833.33,41465.33,1
290423168637,110,10,2019-05-15,3405.00,37833.33,41238.33,1
290423168637,110,11,2019-06-15,3178.00,37833.33,41011.33,1
290423168637,110,12,2019-07-15,2951.00,37833.33,40784.33,1
290423168637,110,13,2019-08-15,2724.00,37833.33,40557.33,1
290423168637,110,14,2019-09-15,2497.00,37833.33,40330.33,1
290423168637,110,15,2019-10-15,2270.00,37833.33,40103.33,1
290423168637,110,16,2019-11-15,2043.00,37833.33,39876.33,1
290423168637,110,17,2019-12-15,1816.00,37833.33,39649.33,1
290423168637,110,18,2020-01-15,1589.00,37833.33,39422.33,1
290423168637,110,19,2020-02-15,1362.00,37833.33,39195.33,1
290423168637,110,20,2020-03-15,1135.00,37833.33,38968.33,1
300579790040,102,1,2018-05-02,132.00,0.00,132.00,1
300579790040,102,2,2018-06-02,132.00,0.00,132.00,1
300579790040,102,3,2018-07-02,132.00,0.00,132.00,1
300579790040,102,4,2018-08-02,132.00,0.00,132.00,1
300579790040,102,5,2018-09-02,132.00,0.00,132.00,1
300579790040,102,6,2018-10-02,132.00,0.00,132.00,1
150954547173,100,1,2018-06-28,2023.00,0.00,2023.00,1
150954547173,100,2,2018-07-28,2023.00,0.00,2023.00,1
150954547173,100,3,2018-08-28,2023.00,289000.00,291023.00,1
260980358574,113,1,2018-05-17,5016.00,0.00,5016.00,1
260980358574,113,2,2018-06-17,5016.00,0.00,5016.00,1
260980358574,113,3,2018-07-17,5016.00,0.00,5016.00,1
260980358574,113,4,2018-08-17,5016.00,0.00,5016.00,1
260980358574,113,5,2018-09-17,5016.00,0.00,5016.00,1
260980358574,113,6,2018-10-17,5016.00,0.00,5016.00,1
260980358574,113,7,2018-11-17,5016.00,0.00,5016.00,1
260980358574,113,8,2018-12-17,5016.00,0.00,5016.00,1
260980358574,113,9,2019-01-17,5016.00,0.00,5016.00,1
260980358574,113,10,2019-02-17,5016.00,0.00,5016.00,1
260980358574,113,11,2019-03-17,5016.00,0.00,5016.00,1
260980358574,113,12,2019-04-17,5016.00,0.00,5016.00,1
260980358574,113,13,2019-05-17,5016.00,0.00,5016.00,1
260980358574,113,14,2019-06-17,5016.00,0.00,5016.00,1
260980358574,113,15,2019-07-17,5016.00,0.00,5016.00,1
260980358574,113,16,2019-08-17,5016.00,0.00,5016.00,1
260980358574,113,17,2019-09-17,5016.00,0.00,5016.00,1
260980358574,113,18,2019-10-17,5016.00,0.00,5016.00,1
260980358574,113,19,2019-11-17,5016.00,0.00,5016.00,1
260980358574,113,20,2019-12-17,5016.00,0.00,5016.00,1
260980358574,113,21,2020-01-17,5016.00,0.00,5016.00,1
400048788331,106,1,2018-04-03,130.00,0.00,130.00,1
400048788331,106,2,2018-05-03,130.00,0.00,130.00,1
400048788331,106,3,2018-06-03,130.00,0.00,130.00,1
400048788331,106,4,2018-07-03,130.00,0.00,130.00,1
400048788331,106,5,2018-08-03,130.00,0.00,130.00,1
400048788331,106,6,2018-09-03,130.00,0.00,130.00,1
400048788331,106,7,2018-10-03,130.00,0.00,130.00,1
400048788331,106,8,2018-11-03,130.00,0.00,130.00,1
400048788331,106,9,2018-12-03,130.00,0.00,130.00,1
400048788331,106,10,2019-01-03,130.00,0.00,130.00,1
400048788331,106,11,2019-02-03,130.00,0.00,130.00,1
400048788331,106,12,2019-03-03,130.00,13000.00,13130.00,1
