协议编号,借据编号,还款期数,应还日期,欠还利息,欠还本金,欠还本息,还款标志
160413995463,117,13,2019-02-28,380.00,0.00,380.00,3
160413995463,117,14,2019-03-29,380.00,0.00,380.00,3
160413995463,117,15,2019-04-29,380.00,0.00,380.00,3
160413995463,117,16,2019-05-29,380.00,0.00,380.00,3
160413995463,117,17,2019-06-29,380.00,0.00,380.00,3
160413995463,117,18,2019-07-29,380.00,38000.00,38380.00,3
080813930886,108,8,2018-12-09,294.00,0.00,294.00,3
080813930886,108,9,2019-01-09,294.00,0.00,294.00,3
080813930886,108,10,2019-02-09,294.00,0.00,294.00,3
080813930886,108,11,2019-03-09,294.00,0.00,294.00,3
080813930886,108,12,2019-04-09,294.00,0.00,294.00,3
080813930886,108,13,2019-05-09,294.00,0.00,294.00,3
080813930886,108,14,2019-06-09,294.00,0.00,294.00,3
080813930886,108,15,2019-07-09,294.00,0.00,294.00,3
080813930886,108,16,2019-08-09,294.00,0.00,294.00,3
080813930886,108,17,2019-09-09,294.00,0.00,294.00,3
080813930886,108,18,2019-10-09,294.00,49000.00,49294.00,3
120692021218,105,1,2018-04-27,416.00,17195.40,17611.40,3
120692021218,105,2,2018-05-27,278.44,17332.96,17611.40,3
120692021218,105,3,2018-06-27,139.76,17471.64,17611.40,3
410043330694,109,7,2018-11-25,3151.22,42341.31,45492.53,3
410043330694,109,8,2018-12-25,2897.17,42595.36,45492.53,3
410043330694,109,9,2019-01-25,2641.60,42850.93,45492.53,3
410043330694,109,10,2019-02-25,2384.49,43108.04,45492.53,3
410043330694,109,11,2019-03-25,2125.84,43366.69,45492.53,3
410043330694,109,12,2019-04-25,1865.64,43626.89,45492.53,3
410043330694,109,13,2019-05-25,1603.88,43888.65,45492.53,3
410043330694,109,14,2019-06-25,1340.55,44151.98,45492.53,3
410043330694,109,15,2019-07-25,1075.64,44416.89,45492.53,3
410043330694,109,16,2019-08-25,809.14,44683.39,45492.53,3
410043330694,109,17,2019-09-25,541.04,44951.49,45492.53,3
410043330694,109,18,2019-10-25,271.23,45221.30,45492.53,3
261087765958,119,3,2018-07-13,12840.43,154811.52,167651.95,3
261087765958,119,4,2018-08-13,11601.93,156050.02,167651.95,3
261087765958,119,5,2018-09-13,10353.53,157298.42,167651.95,3
261087765958,119,6,2018-10-13,9095.15,158556.80,167651.95,3
261087765958,119,7,2018-11-13,7826.69,159825.26,167651.95,3
261087765958,119,8,2018-12-13,6548.09,161103.86,167651.95,3
261087765958,119,9,2019-01-13,5259.26,162392.69,167651.95,3
261087765958,119,10,2019-02-13,3960.12,163691.83,167651.95,3
261087765958,119,11,2019-03-13,2650.58,165001.37,167651.95,3
261087765958,119,12,2019-04-13,1330.53,166321.42,167651.95,3
131770998358,100,2,2018-03-03,16316.61,1355650.50,1371967.11,3
131770998358,100,3,2018-04-03,8182.72,1363784.39,1371967.11,3
060972698633,108,2,2018-06-07,107.67,1055.56,1163.22,3
060972698633,108,3,2018-07-07,101.33,1055.56,1156.89,3
060972698633,108,4,2018-08-07,95.00,1055.56,1150.56,3
060972698633,108,5,2018-09-07,88.67,1055.56,1144.22,3
060972698633,108,6,2018-10-07,82.33,1055.56,1137.89,3
060972698633,108,7,2018-11-07,76.00,1055.56,1131.56,3
060972698633,108,8,2018-12-07,69.67,1055.56,1125.22,3
060972698633,108,9,2019-01-07,63.33,1055.56,1118.89,3
060972698633,108,10,2019-02-07,57.00,1055.56,1112.56,3
060972698633,108,11,2019-03-07,50.67,1055.56,1106.22,3
060972698633,108,12,2019-04-07,44.33,1055.56,1099.89,3
060972698633,108,13,2019-05-07,38.00,1055.56,1093.56,3
060972698633,108,14,2019-06-07,31.67,1055.56,1087.22,3
060972698633,108,15,2019-07-07,25.33,1055.56,1080.89,3
060972698633,108,16,2019-08-07,19.00,1055.56,1074.56,3
060972698633,108,17,2019-09-07,12.67,1055.56,1068.22,3
060972698633,108,18,2019-10-07,6.33,1055.56,1061.89,3
400052040800,102,1,2018-02-21,32456.00,1341572.14,1374028.14,3
400052040800,102,2,2018-03-21,21723.42,1352304.72,1374028.14,3
400052040800,102,3,2018-04-21,10905.00,1363123.14,1374028.14,3
250836155270,103,6,2018-12-09,4369.10,76167.00,80536.10,3
250836155270,103,7,2019-01-09,3759.76,76776.34,80536.10,3
250836155270,103,8,2019-02-09,3145.55,77390.55,80536.10,3
250836155270,103,9,2019-03-09,2526.43,78009.67,80536.10,3
250836155270,103,10,2019-04-09,1902.35,78633.75,80536.10,3
250836155270,103,11,2019-05-09,1273.28,79262.82,80536.10,3
250836155270,103,12,2019-06-09,639.13,79896.97,80536.10,3
151173971176,103,2,2018-03-15,3876.00,38000.00,41876.00,3
151173971176,103,3,2018-04-15,3648.00,38000.00,41648.00,3
151173971176,103,4,2018-05-15,3420.00,38000.00,41420.00,3
151173971176,103,5,2018-06-15,3192.00,38000.00,41192.00,3
151173971176,103,6,2018-07-15,2964.00,38000.00,40964.00,3
151173971176,103,7,2018-08-15,2736.00,38000.00,40736.00,3
151173971176,103,8,2018-09-15,2508.00,38000.00,40508.00,3
151173971176,103,9,2018-10-15,2280.00,38000.00,40280.00,3
151173971176,103,10,2018-11-15,2052.00,38000.00,40052.00,3
151173971176,103,11,2018-12-15,1824.00,38000.00,39824.00,3
151173971176,103,12,2019-01-15,1596.00,38000.00,39596.00,3
151173971176,103,13,2019-02-15,1368.00,38000.00,39368.00,3
151173971176,103,14,2019-03-15,1140.00,38000.00,39140.00,3
151173971176,103,15,2019-04-15,912.00,38000.00,38912.00,3
151173971176,103,16,2019-05-15,684.00,38000.00,38684.00,3
151173971176,103,17,2019-06-15,456.00,38000.00,38456.00,3
151173971176,103,18,2019-07-15,228.00,38000.00,38228.00,3
060945063680,103,1,2018-06-13,12699.00,0.00,12699.00,3
060945063680,103,2,2018-07-13,12699.00,0.00,12699.00,3
060945063680,103,3,2018-08-13,12699.00,0.00,12699.00,3
060945063680,103,4,2018-09-13,12699.00,0.00,12699.00,3
060945063680,103,5,2018-10-13,12699.00,0.00,12699.00,3
060945063680,103,6,2018-11-13,12699.00,0.00,12699.00,3
060945063680,103,7,2018-12-13,12699.00,0.00,12699.00,3
060945063680,103,8,2019-01-13,12699.00,0.00,12699.00,3
060945063680,103,9,2019-02-13,12699.00,0.00,12699.00,3
060945063680,103,10,2019-03-13,12699.00,0.00,12699.00,3
060945063680,103,11,2019-04-13,12699.00,0.00,12699.00,3
060945063680,103,12,2019-05-13,12699.00,1411000.00,1423699.00,3
161026779603,106,11,2018-12-15,3756.67,38333.33,42090.00,3
161026779603,106,12,2019-01-15,3488.33,38333.33,41821.67,3
161026779603,106,13,2019-02-15,3220.00,38333.33,41553.33,3
161026779603,106,14,2019-03-15,2951.67,38333.33,41285.00,3
161026779603,106,15,2019-04-15,2683.33,38333.33,41016.67,3
161026779603,106,16,2019-05-15,2415.00,38333.33,40748.33,3
161026779603,106,17,2019-06-15,2146.67,38333.33,40480.00,3
161026779603,106,18,2019-07-15,1878.33,38333.33,40211.67,3
161026779603,106,19,2019-08-15,1610.00,38333.33,39943.33,3
161026779603,106,20,2019-09-15,1341.67,38333.33,39675.00,3
161026779603,106,21,2019-10-15,1073.33,38333.33,39406.67,3
161026779603,106,22,2019-11-15,805.00,38333.33,39138.33,3
161026779603,106,23,2019-12-15,536.67,38333.33,38870.00,3
161026779603,106,24,2020-01-15,268.33,38333.33,38601.67,3
070866907361,101,4,2018-09-01,2219.50,23641.89,25861.39,3
070866907361,101,5,2018-10-01,2077.65,23783.74,25861.39,3
070866907361,101,6,2018-11-01,1934.95,23926.44,25861.39,3
070866907361,101,7,2018-12-01,1791.39,24070.00,25861.39,3
070866907361,101,8,2019-01-01,1646.97,24214.42,25861.39,3
070866907361,101,9,2019-02-01,1501.68,24359.71,25861.39,3
070866907361,101,10,2019-03-01,1355.52,24505.87,25861.39,3
070866907361,101,11,2019-04-01,1208.49,24652.90,25861.39,3
070866907361,101,12,2019-05-01,1060.57,24800.82,25861.39,3
070866907361,101,13,2019-06-01,911.77,24949.62,25861.39,3
070866907361,101,14,2019-07-01,762.07,25099.32,25861.39,3
070866907361,101,15,2019-08-01,611.47,25249.92,25861.39,3
070866907361,101,16,2019-09-01,459.97,25401.42,25861.39,3
070866907361,101,17,2019-10-01,307.57,25553.82,25861.39,3
070866907361,101,18,2019-11-01,154.27,25707.12,25861.39,3
060937642747,107,4,2018-10-03,258.33,1722.22,1980.56,3
060937642747,107,5,2018-11-03,241.11,1722.22,1963.33,3
060937642747,107,6,2018-12-03,223.89,1722.22,1946.11,3
060937642747,107,7,2019-01-03,206.67,1722.22,1928.89,3
060937642747,107,8,2019-02-03,189.44,1722.22,1911.67,3
060937642747,107,9,2019-03-03,172.22,1722.22,1894.44,3
060937642747,107,10,2019-04-03,155.00,1722.22,1877.22,3
060937642747,107,11,2019-05-03,137.78,1722.22,1860.00,3
060937642747,107,12,2019-06-03,120.56,1722.22,1842.78,3
060937642747,107,13,2019-07-03,103.33,1722.22,1825.56,3
060937642747,107,14,2019-08-03,86.11,1722.22,1808.33,3
060937642747,107,15,2019-09-03,68.89,1722.22,1791.11,3
060937642747,107,16,2019-10-03,51.67,1722.22,1773.89,3
060937642747,107,17,2019-11-03,34.44,1722.22,1756.67,3
060937642747,107,18,2019-12-03,17.22,1722.22,1739.44,3
150216277816,109,2,2018-03-01,1168.38,11280.28,12448.66,3
150216277816,109,3,2018-04-01,1066.86,11381.80,12448.66,3
150216277816,109,4,2018-05-01,964.42,11484.24,12448.66,3
150216277816,109,5,2018-06-01,861.07,11587.59,12448.66,3
150216277816,109,6,2018-07-01,756.78,11691.88,12448.66,3
150216277816,109,7,2018-08-01,651.55,11797.11,12448.66,3
150216277816,109,8,2018-09-01,545.38,11903.28,12448.66,3
150216277816,109,9,2018-10-01,438.25,12010.41,12448.66,3
150216277816,109,10,2018-11-01,330.15,12118.51,12448.66,3
150216277816,109,11,2018-12-01,221.09,12227.57,12448.66,3
150216277816,109,12,2019-01-01,110.99,12337.67,12448.66,3
070572898435,108,15,2019-04-13,1202.50,20041.67,21244.17,3
070572898435,108,16,2019-05-13,1082.25,20041.67,21123.92,3
070572898435,108,17,2019-06-13,962.00,20041.67,21003.67,3
070572898435,108,18,2019-07-13,841.75,20041.67,20883.42,3
070572898435,108,19,2019-08-13,721.50,20041.67,20763.17,3
070572898435,108,20,2019-09-13,601.25,20041.67,20642.92,3
070572898435,108,21,2019-10-13,481.00,20041.67,20522.67,3
070572898435,108,22,2019-11-13,360.75,20041.67,20402.42,3
070572898435,108,23,2019-12-13,240.50,20041.67,20282.17,3
070572898435,108,24,2020-01-13,120.25,20041.67,20161.92,3
260288489965,113,12,2019-05-25,2070.75,230083.33,232154.08,3
181270894595,102,9,2018-11-12,2046.12,72312.86,74358.98,3
181270894595,102,10,2018-12-12,1539.93,72819.05,74358.98,3
181270894595,102,11,2019-01-12,1030.20,73328.78,74358.98,3
181270894595,102,12,2019-02-12,516.85,73842.13,74358.98,3
160636118060,120,8,2018-10-16,1820.00,0.00,1820.00,3
160636118060,120,9,2018-11-16,1820.00,0.00,1820.00,3
160636118060,120,10,2018-12-16,1820.00,0.00,1820.00,3
160636118060,120,11,2019-01-16,1820.00,0.00,1820.00,3
160636118060,120,12,2019-02-16,1820.00,0.00,1820.00,3
160636118060,120,13,2019-03-16,1820.00,0.00,1820.00,3
160636118060,120,14,2019-04-16,1820.00,0.00,1820.00,3
160636118060,120,15,2019-05-16,1820.00,0.00,1820.00,3
160636118060,120,16,2019-06-16,1820.00,0.00,1820.00,3
160636118060,120,17,2019-07-16,1820.00,0.00,1820.00,3
160636118060,120,18,2019-08-16,1820.00,182000.00,183820.00,3
111070424892,101,14,2019-07-25,990.00,0.00,990.00,3
111070424892,101,15,2019-08-25,990.00,0.00,990.00,3
111070424892,101,16,2019-09-25,990.00,0.00,990.00,3
111070424892,101,17,2019-10-25,990.00,0.00,990.00,3
111070424892,101,18,2019-11-25,990.00,165000.00,165990.00,3
061086695570,120,1,2018-04-08,9324.00,60393.57,69717.57,3
061086695570,120,2,2018-05-08,8961.64,60755.93,69717.57,3
061086695570,120,3,2018-06-08,8597.10,61120.47,69717.57,3
061086695570,120,4,2018-07-08,8230.38,61487.19,69717.57,3
061086695570,120,5,2018-08-08,7861.46,61856.11,69717.57,3
061086695570,120,6,2018-09-08,7490.32,62227.25,69717.57,3
061086695570,120,7,2018-10-08,7116.96,62600.61,69717.57,3
061086695570,120,8,2018-11-08,6741.35,62976.22,69717.57,3
061086695570,120,9,2018-12-08,6363.50,63354.07,69717.57,3
061086695570,120,10,2019-01-08,5983.37,63734.20,69717.57,3
061086695570,120,11,2019-02-08,5600.97,64116.60,69717.57,3
061086695570,120,12,2019-03-08,5216.27,64501.30,69717.57,3
061086695570,120,13,2019-04-08,4829.26,64888.31,69717.57,3
061086695570,120,14,2019-05-08,4439.93,65277.64,69717.57,3
061086695570,120,15,2019-06-08,4048.26,65669.31,69717.57,3
061086695570,120,16,2019-07-08,3654.25,66063.32,69717.57,3
061086695570,120,17,2019-08-08,3257.87,66459.70,69717.57,3
061086695570,120,18,2019-09-08,2859.11,66858.46,69717.57,3
061086695570,120,19,2019-10-08,2457.96,67259.61,69717.57,3
061086695570,120,20,2019-11-08,2054.40,67663.17,69717.57,3
061086695570,120,21,2019-12-08,1648.42,68069.15,69717.57,3
061086695570,120,22,2020-01-08,1240.01,68477.56,69717.57,3
061086695570,120,23,2020-02-08,829.14,68888.43,69717.57,3
061086695570,120,24,2020-03-08,415.75,69301.82,69717.57,3
400076473204,111,1,2018-04-30,200.00,8267.02,8467.02,3
400076473204,111,2,2018-05-31,133.86,8333.16,8467.02,3
400076473204,111,3,2018-06-30,67.20,8399.82,8467.02,3
190877888219,114,7,2018-12-01,4482.46,44673.33,49155.79,3
190877888219,114,8,2019-01-01,4125.08,45030.71,49155.79,3
190877888219,114,9,2019-02-01,3764.83,45390.96,49155.79,3
190877888219,114,10,2019-03-01,3401.70,45754.09,49155.79,3
190877888219,114,11,2019-04-01,3035.67,46120.12,49155.79,3
190877888219,114,12,2019-05-01,2666.71,46489.08,49155.79,3
190877888219,114,13,2019-06-01,2294.80,46860.99,49155.79,3
190877888219,114,14,2019-07-01,1919.91,47235.88,49155.79,3
190877888219,114,15,2019-08-01,1542.02,47613.77,49155.79,3
190877888219,114,16,2019-09-01,1161.11,47994.68,49155.79,3
190877888219,114,17,2019-10-01,777.15,48378.64,49155.79,3
190877888219,114,18,2019-11-01,390.16,48765.63,49155.79,3
300253070097,114,6,2019-01-21,1359.17,19416.67,20775.83,3
300253070097,114,7,2019-02-21,1165.00,19416.67,20581.67,3
300253070097,114,8,2019-03-21,970.83,19416.67,20387.50,3
300253070097,114,9,2019-04-21,776.67,19416.67,20193.33,3
300253070097,114,10,2019-05-21,582.50,19416.67,19999.17,3
300253070097,114,11,2019-06-21,388.33,19416.67,19805.00,3
300253070097,114,12,2019-07-21,194.17,19416.67,19610.83,3
181254466440,105,2,2018-09-28,6876.50,44944.44,51820.94,3
181254466440,105,3,2018-10-28,6472.00,44944.44,51416.44,3
181254466440,105,4,2018-11-28,6067.50,44944.44,51011.94,3
181254466440,105,5,2018-12-28,5663.00,44944.44,50607.44,3
181254466440,105,6,2019-01-28,5258.50,44944.44,50202.94,3
181254466440,105,7,2019-02-28,4854.00,44944.44,49798.44,3
181254466440,105,8,2019-03-28,4449.50,44944.44,49393.94,3
181254466440,105,9,2019-04-28,4045.00,44944.44,48989.44,3
181254466440,105,10,2019-05-28,3640.50,44944.44,48584.94,3
181254466440,105,11,2019-06-28,3236.00,44944.44,48180.44,3
181254466440,105,12,2019-07-28,2831.50,44944.44,47775.94,3
181254466440,105,13,2019-08-28,2427.00,44944.44,47371.44,3
181254466440,105,14,2019-09-28,2022.50,44944.44,46966.94,3
181254466440,105,15,2019-10-28,1618.00,44944.44,46562.44,3
181254466440,105,16,2019-11-28,1213.50,44944.44,46157.94,3
181254466440,105,17,2019-12-28,809.00,44944.44,45753.44,3
181254466440,105,18,2020-01-28,404.50,44944.44,45348.94,3
240502510431,106,4,2018-07-29,4012.50,44583.33,48595.83,3
240502510431,106,5,2018-08-29,3566.67,44583.33,48150.00,3
240502510431,106,6,2018-09-29,3120.83,44583.33,47704.17,3
240502510431,106,7,2018-10-29,2675.00,44583.33,47258.33,3
240502510431,106,8,2018-11-29,2229.17,44583.33,46812.50,3
240502510431,106,9,2018-12-29,1783.33,44583.33,46366.67,3
240502510431,106,10,2019-01-29,1337.50,44583.33,45920.83,3
240502510431,106,11,2019-02-28,891.67,44583.33,45475.00,3
240502510431,106,12,2019-03-29,445.83,44583.33,45029.17,3
060611467848,112,12,2019-03-08,955.50,12250.00,13205.50,3
060611467848,112,13,2019-04-08,882.00,12250.00,13132.00,3
060611467848,112,14,2019-05-08,808.50,12250.00,13058.50,3
060611467848,112,15,2019-06-08,735.00,12250.00,12985.00,3
060611467848,112,16,2019-07-08,661.50,12250.00,12911.50,3
060611467848,112,17,2019-08-08,588.00,12250.00,12838.00,3
060611467848,112,18,2019-09-08,514.50,12250.00,12764.50,3
060611467848,112,19,2019-10-08,441.00,12250.00,12691.00,3
060611467848,112,20,2019-11-08,367.50,12250.00,12617.50,3
060611467848,112,21,2019-12-08,294.00,12250.00,12544.00,3
060611467848,112,22,2020-01-08,220.50,12250.00,12470.50,3
060611467848,112,23,2020-02-08,147.00,12250.00,12397.00,3
060611467848,112,24,2020-03-08,73.50,12250.00,12323.50,3
171306707836,104,2,2018-03-11,1177.00,17833.33,19010.33,3
171306707836,104,3,2018-04-11,1070.00,17833.33,18903.33,3
171306707836,104,4,2018-05-11,963.00,17833.33,18796.33,3
171306707836,104,5,2018-06-11,856.00,17833.33,18689.33,3
171306707836,104,6,2018-07-11,749.00,17833.33,18582.33,3
171306707836,104,7,2018-08-11,642.00,17833.33,18475.33,3
171306707836,104,8,2018-09-11,535.00,17833.33,18368.33,3
171306707836,104,9,2018-10-11,428.00,17833.33,18261.33,3
171306707836,104,10,2018-11-11,321.00,17833.33,18154.33,3
171306707836,104,11,2018-12-11,214.00,17833.33,18047.33,3
171306707836,104,12,2019-01-11,107.00,17833.33,17940.33,3
060636548291,111,1,2018-07-07,5103.00,0.00,5103.00,3
060636548291,111,2,2018-08-07,5103.00,0.00,5103.00,3
060636548291,111,3,2018-09-07,5103.00,0.00,5103.00,3
060636548291,111,4,2018-10-07,5103.00,0.00,5103.00,3
060636548291,111,5,2018-11-07,5103.00,0.00,5103.00,3
060636548291,111,6,2018-12-07,5103.00,729000.00,734103.00,3
200428477090,120,8,2018-11-30,7198.01,105828.02,113026.03,3
200428477090,120,9,2018-12-31,6563.04,106462.99,113026.03,3
200428477090,120,10,2019-01-31,5924.26,107101.77,113026.03,3
200428477090,120,11,2019-02-28,5281.65,107744.38,113026.03,3
200428477090,120,12,2019-03-31,4635.18,108390.85,113026.03,3
200428477090,120,13,2019-04-30,3984.84,109041.19,113026.03,3
200428477090,120,14,2019-05-31,3330.59,109695.44,113026.03,3
200428477090,120,15,2019-06-30,2672.42,110353.61,113026.03,3
200428477090,120,16,2019-07-31,2010.30,111015.73,113026.03,3
200428477090,120,17,2019-08-31,1344.20,111681.83,113026.03,3
200428477090,120,18,2019-09-30,674.19,112351.84,113026.03,3
071362664367,113,9,2019-03-30,3812.36,37955.37,41767.73,3
071362664367,113,10,2019-04-30,3584.63,38183.10,41767.73,3
071362664367,113,11,2019-05-30,3355.53,38412.20,41767.73,3
071362664367,113,12,2019-06-30,3125.06,38642.67,41767.73,3
071362664367,113,13,2019-07-30,2893.20,38874.53,41767.73,3
071362664367,113,14,2019-08-30,2659.96,39107.77,41767.73,3
071362664367,113,15,2019-09-30,2425.31,39342.42,41767.73,3
071362664367,113,16,2019-10-30,2189.26,39578.47,41767.73,3
071362664367,113,17,2019-11-30,1951.79,39815.94,41767.73,3
071362664367,113,18,2019-12-30,1712.89,40054.84,41767.73,3
071362664367,113,19,2020-01-30,1472.56,40295.17,41767.73,3
071362664367,113,20,2020-02-29,1230.79,40536.94,41767.73,3
071362664367,113,21,2020-03-30,987.57,40780.16,41767.73,3
410034795122,101,6,2018-10-20,2232.50,19583.33,21815.83,3
410034795122,101,7,2018-11-20,2115.00,19583.33,21698.33,3
410034795122,101,8,2018-12-20,1997.50,19583.33,21580.83,3
410034795122,101,9,2019-01-20,1880.00,19583.33,21463.33,3
410034795122,101,10,2019-02-20,1762.50,19583.33,21345.83,3
410034795122,101,11,2019-03-20,1645.00,19583.33,21228.33,3
410034795122,101,12,2019-04-20,1527.50,19583.33,21110.83,3
410034795122,101,13,2019-05-20,1410.00,19583.33,20993.33,3
410034795122,101,14,2019-06-20,1292.50,19583.33,20875.83,3
410034795122,101,15,2019-07-20,1175.00,19583.33,20758.33,3
410034795122,101,16,2019-08-20,1057.50,19583.33,20640.83,3
410034795122,101,17,2019-09-20,940.00,19583.33,20523.33,3
410034795122,101,18,2019-10-20,822.50,19583.33,20405.83,3
410034795122,101,19,2019-11-20,705.00,19583.33,20288.33,3
410034795122,101,20,2019-12-20,587.50,19583.33,20170.83,3
410034795122,101,21,2020-01-20,470.00,19583.33,20053.33,3
410034795122,101,22,2020-02-20,352.50,19583.33,19935.83,3
410034795122,101,23,2020-03-20,235.00,19583.33,19818.33,3
410034795122,101,24,2020-04-20,117.50,19583.33,19700.83,3
