协议编号,借据编号,还款期数,应还日期,应还利息,应还本金,应还本息,还款标志
220176258010,103,4,2018-08-28,115.40,496.56,611.96,0
220176258010,103,5,2018-09-28,110.43,501.53,611.96,0
220176258010,103,6,2018-10-28,105.42,506.54,611.96,0
220176258010,103,7,2018-11-28,100.35,511.61,611.96,0
220176258010,103,8,2018-12-28,95.23,516.73,611.96,0
220176258010,103,9,2019-01-28,90.07,521.89,611.96,0
220176258010,103,10,2019-02-28,84.85,527.11,611.96,0
220176258010,103,11,2019-03-28,79.58,532.38,611.96,0
220176258010,103,12,2019-04-28,74.25,537.71,611.96,0
220176258010,103,13,2019-05-28,68.88,543.08,611.96,0
220176258010,103,14,2019-06-28,63.45,548.51,611.96,0
220176258010,103,15,2019-07-28,57.96,554.00,611.96,0
220176258010,103,16,2019-08-28,52.42,559.54,611.96,0
220176258010,103,17,2019-09-28,46.82,565.14,611.96,0
220176258010,103,18,2019-10-28,41.17,570.79,611.96,0
220176258010,103,19,2019-11-28,35.47,576.49,611.96,0
220176258010,103,20,2019-12-28,29.70,582.26,611.96,0
220176258010,103,21,2020-01-28,23.88,588.08,611.96,0
220176258010,103,22,2020-02-28,18.00,593.96,611.96,0
220176258010,103,23,2020-03-28,12.06,599.90,611.96,0
220176258010,103,24,2020-04-28,6.16,605.80,611.96,0
130983431006,106,1,2018-08-09,1617.00,77000.00,78617.00,0
130983431006,106,2,2018-09-09,1078.00,77000.00,78078.00,0
130983431006,106,3,2018-10-09,539.00,77000.00,77539.00,0
040932839370,100,1,2018-02-07,567.00,3239.84,3806.84,0
040932839370,100,2,2018-03-07,537.84,3269.00,3806.84,0
040932839370,100,3,2018-04-07,508.42,3298.42,3806.84,0
040932839370,100,4,2018-05-07,478.73,3328.11,3806.84,0
040932839370,100,5,2018-06-07,448.78,3358.06,3806.84,0
040932839370,100,6,2018-07-07,418.56,3388.28,3806.84,0
040932839370,100,7,2018-08-07,388.06,3418.78,3806.84,0
040932839370,100,8,2018-09-07,357.30,3449.54,3806.84,0
040932839370,100,9,2018-10-07,326.25,3480.59,3806.84,0
040932839370,100,10,2018-11-07,294.92,3511.92,3806.84,0
040932839370,100,11,2018-12-07,263.32,3543.52,3806.84,0
040932839370,100,12,2019-01-07,231.43,3575.41,3806.84,0
040932839370,100,13,2019-02-07,199.25,3607.59,3806.84,0
040932839370,100,14,2019-03-07,166.78,3640.06,3806.84,0
040932839370,100,15,2019-04-07,134.02,3672.82,3806.84,0
040932839370,100,16,2019-05-07,100.96,3705.88,3806.84,0
040932839370,100,17,2019-06-07,67.61,3739.23,3806.84,0
040932839370,100,18,2019-07-07,33.89,3772.95,3806.84,0
240810886171,105,1,2018-05-17,1960.00,15555.48,17515.48,0
240810886171,105,2,2018-06-17,1851.11,15555.56,17406.67,0
240810886171,105,3,2018-07-17,1742.22,15555.56,17297.78,0
240810886171,105,4,2018-08-17,1633.33,15555.56,17188.89,0
240810886171,105,5,2018-09-17,1524.44,15555.56,17080.00,0
240810886171,105,6,2018-10-17,1415.56,15555.56,16971.11,0
240810886171,105,7,2018-11-17,1306.67,15555.56,16862.22,0
240810886171,105,8,2018-12-17,1197.78,15555.56,16753.33,0
240810886171,105,9,2019-01-17,1088.89,15555.56,16644.44,0
240810886171,105,10,2019-02-17,980.00,15555.56,16535.56,0
240810886171,105,11,2019-03-17,871.11,15555.56,16426.67,0
240810886171,105,12,2019-04-17,762.22,15555.56,16317.78,0
240810886171,105,13,2019-05-17,653.33,15555.56,16208.89,0
240810886171,105,14,2019-06-17,544.44,15555.56,16100.00,0
240810886171,105,15,2019-07-17,435.56,15555.56,15991.11,0
240810886171,105,16,2019-08-17,326.67,15555.56,15882.22,0
240810886171,105,17,2019-09-17,217.78,15555.56,15773.33,0
240810886171,105,18,2019-10-17,108.89,15555.56,15664.44,0
060900193239,108,1,2018-04-17,23630.00,186319.69,209949.69,0
060900193239,108,2,2018-05-17,21766.80,188182.89,209949.69,0
060900193239,108,3,2018-06-17,19884.97,190064.72,209949.69,0
060900193239,108,4,2018-07-17,17984.33,191965.36,209949.69,0
060900193239,108,5,2018-08-17,16064.67,193885.02,209949.69,0
060900193239,108,6,2018-09-17,14125.82,195823.87,209949.69,0
060900193239,108,7,2018-10-17,12167.58,197782.11,209949.69,0
060900193239,108,8,2018-11-17,10189.76,199759.93,209949.69,0
060900193239,108,9,2018-12-17,8192.16,201757.53,209949.69,0
060900193239,108,10,2019-01-17,6174.59,203775.10,209949.69,0
060900193239,108,11,2019-02-17,4136.84,205812.85,209949.69,0
060900193239,108,12,2019-03-17,2078.76,207870.93,209949.69,0
271000589102,109,1,2018-06-09,510.00,0.00,510.00,0
271000589102,109,2,2018-07-09,510.00,0.00,510.00,0
271000589102,109,3,2018-08-09,510.00,0.00,510.00,0
271000589102,109,4,2018-09-09,510.00,0.00,510.00,0
271000589102,109,5,2018-10-09,510.00,0.00,510.00,0
271000589102,109,6,2018-11-09,510.00,51000.00,51510.00,0
290233371456,110,1,2018-06-10,153.00,0.00,153.00,0
290233371456,110,2,2018-07-10,153.00,0.00,153.00,0
290233371456,110,3,2018-08-10,153.00,0.00,153.00,0
290233371456,110,4,2018-09-10,153.00,0.00,153.00,0
290233371456,110,5,2018-10-10,153.00,0.00,153.00,0
290233371456,110,6,2018-11-10,153.00,17000.00,17153.00,0
210758286976,104,1,2018-04-03,10728.00,0.00,10728.00,0
210758286976,104,2,2018-05-03,10728.00,0.00,10728.00,0
210758286976,104,3,2018-06-03,10728.00,1788000.00,1798728.00,0
250804825245,108,1,2018-02-22,2970.00,48276.86,51246.86,0
250804825245,108,2,2018-03-22,2487.23,48759.63,51246.86,0
250804825245,108,3,2018-04-22,1999.64,49247.22,51246.86,0
250804825245,108,4,2018-05-22,1507.16,49739.70,51246.86,0
250804825245,108,5,2018-06-22,1009.77,50237.09,51246.86,0
250804825245,108,6,2018-07-22,507.36,50739.50,51246.86,0
040314660045,110,1,2018-06-05,2106.00,38131.67,40237.67,0
040314660045,110,2,2018-07-05,1762.81,38474.86,40237.67,0
040314660045,110,3,2018-08-05,1416.54,38821.13,40237.67,0
040314660045,110,4,2018-09-05,1067.15,39170.52,40237.67,0
040314660045,110,5,2018-10-05,714.62,39523.05,40237.67,0
040314660045,110,6,2018-11-05,358.90,39878.77,40237.67,0
251533251213,120,1,2018-03-07,4896.00,0.00,4896.00,0
251533251213,120,2,2018-04-07,4896.00,0.00,4896.00,0
251533251213,120,3,2018-05-07,4896.00,0.00,4896.00,0
251533251213,120,4,2018-06-07,4896.00,0.00,4896.00,0
251533251213,120,5,2018-07-07,4896.00,0.00,4896.00,0
251533251213,120,6,2018-08-07,4896.00,816000.00,820896.00,0
200417440082,114,1,2018-03-22,29115.00,134791.59,163906.59,0
200417440082,114,2,2018-04-22,27901.88,134791.67,162693.54,0
200417440082,114,3,2018-05-22,26688.75,134791.67,161480.42,0
200417440082,114,4,2018-06-22,25475.62,134791.67,160267.29,0
200417440082,114,5,2018-07-22,24262.50,134791.67,159054.17,0
200417440082,114,6,2018-08-22,23049.37,134791.67,157841.04,0
200417440082,114,7,2018-09-22,21836.25,134791.67,156627.92,0
200417440082,114,8,2018-10-22,20623.12,134791.67,155414.79,0
200417440082,114,9,2018-11-22,19410.00,134791.67,154201.67,0
200417440082,114,10,2018-12-22,18196.88,134791.67,152988.54,0
200417440082,114,11,2019-01-22,16983.75,134791.67,151775.42,0
200417440082,114,12,2019-02-22,15770.62,134791.67,150562.29,0
200417440082,114,13,2019-03-22,14557.50,134791.67,149349.17,0
200417440082,114,14,2019-04-22,13344.38,134791.67,148136.04,0
200417440082,114,15,2019-05-22,12131.25,134791.67,146922.92,0
200417440082,114,16,2019-06-22,10918.12,134791.67,145709.79,0
200417440082,114,17,2019-07-22,9705.00,134791.67,144496.67,0
200417440082,114,18,2019-08-22,8491.87,134791.67,143283.54,0
200417440082,114,19,2019-09-22,7278.75,134791.67,142070.42,0
200417440082,114,20,2019-10-22,6065.62,134791.67,140857.29,0
200417440082,114,21,2019-11-22,4852.50,134791.67,139644.17,0
200417440082,114,22,2019-12-22,3639.37,134791.67,138431.04,0
200417440082,114,23,2020-01-22,2426.25,134791.67,137217.92,0
200417440082,114,24,2020-02-22,1213.12,134791.67,136004.79,0
180922887334,112,1,2018-07-13,204.00,11333.34,11537.34,0
180922887334,112,2,2018-08-13,136.00,11333.33,11469.33,0
180922887334,112,3,2018-09-13,68.00,11333.33,11401.33,0
110206431171,107,1,2018-02-21,654.00,4236.10,4890.10,0
110206431171,107,2,2018-03-21,628.58,4261.52,4890.10,0
110206431171,107,3,2018-04-21,603.01,4287.09,4890.10,0
110206431171,107,4,2018-05-21,577.29,4312.81,4890.10,0
110206431171,107,5,2018-06-21,551.41,4338.69,4890.10,0
110206431171,107,6,2018-07-21,525.38,4364.72,4890.10,0
110206431171,107,7,2018-08-21,499.19,4390.91,4890.10,0
110206431171,107,8,2018-09-21,472.85,4417.25,4890.10,0
110206431171,107,9,2018-10-21,446.35,4443.75,4890.10,0
110206431171,107,10,2018-11-21,419.68,4470.42,4890.10,0
110206431171,107,11,2018-12-21,392.86,4497.24,4890.10,0
110206431171,107,12,2019-01-21,365.88,4524.22,4890.10,0
110206431171,107,13,2019-02-21,338.73,4551.37,4890.10,0
110206431171,107,14,2019-03-21,311.42,4578.68,4890.10,0
110206431171,107,15,2019-04-21,283.95,4606.15,4890.10,0
110206431171,107,16,2019-05-21,256.31,4633.79,4890.10,0
110206431171,107,17,2019-06-21,228.51,4661.59,4890.10,0
110206431171,107,18,2019-07-21,200.54,4689.56,4890.10,0
110206431171,107,19,2019-08-21,172.41,4717.69,4890.10,0
110206431171,107,20,2019-09-21,144.10,4746.00,4890.10,0
110206431171,107,21,2019-10-21,115.62,4774.48,4890.10,0
110206431171,107,22,2019-11-21,86.98,4803.12,4890.10,0
110206431171,107,23,2019-12-21,58.16,4831.94,4890.10,0
110206431171,107,24,2020-01-21,29.19,4860.91,4890.10,0
160413995463,117,1,2018-02-28,380.00,0.00,380.00,0
160413995463,117,2,2018-03-29,380.00,0.00,380.00,0
160413995463,117,3,2018-04-29,380.00,0.00,380.00,0
160413995463,117,4,2018-05-29,380.00,0.00,380.00,0
160413995463,117,5,2018-06-29,380.00,0.00,380.00,0
160413995463,117,6,2018-07-29,380.00,0.00,380.00,0
160413995463,117,7,2018-08-29,380.00,0.00,380.00,0
160413995463,117,8,2018-09-29,380.00,0.00,380.00,0
160413995463,117,9,2018-10-29,380.00,0.00,380.00,0
160413995463,117,10,2018-11-29,380.00,0.00,380.00,0
160413995463,117,11,2018-12-29,380.00,0.00,380.00,0
160413995463,117,12,2019-01-29,380.00,0.00,380.00,0
160413995463,117,13,2019-02-28,380.00,0.00,380.00,0
160413995463,117,14,2019-03-29,380.00,0.00,380.00,0
160413995463,117,15,2019-04-29,380.00,0.00,380.00,0
160413995463,117,16,2019-05-29,380.00,0.00,380.00,0
160413995463,117,17,2019-06-29,380.00,0.00,380.00,0
160413995463,117,18,2019-07-29,380.00,38000.00,38380.00,0
080813930886,108,1,2018-05-09,294.00,0.00,294.00,0
080813930886,108,2,2018-06-09,294.00,0.00,294.00,0
080813930886,108,3,2018-07-09,294.00,0.00,294.00,0
080813930886,108,4,2018-08-09,294.00,0.00,294.00,0
080813930886,108,5,2018-09-09,294.00,0.00,294.00,0
080813930886,108,6,2018-10-09,294.00,0.00,294.00,0
080813930886,108,7,2018-11-09,294.00,0.00,294.00,0
080813930886,108,8,2018-12-09,294.00,0.00,294.00,0
080813930886,108,9,2019-01-09,294.00,0.00,294.00,0
080813930886,108,10,2019-02-09,294.00,0.00,294.00,0
080813930886,108,11,2019-03-09,294.00,0.00,294.00,0
080813930886,108,12,2019-04-09,294.00,0.00,294.00,0
080813930886,108,13,2019-05-09,294.00,0.00,294.00,0
080813930886,108,14,2019-06-09,294.00,0.00,294.00,0
080813930886,108,15,2019-07-09,294.00,0.00,294.00,0
080813930886,108,16,2019-08-09,294.00,0.00,294.00,0
080813930886,108,17,2019-09-09,294.00,0.00,294.00,0
080813930886,108,18,2019-10-09,294.00,49000.00,49294.00,0
120692021218,105,1,2018-04-27,416.00,17195.40,17611.40,0
120692021218,105,2,2018-05-27,278.44,17332.96,17611.40,0
120692021218,105,3,2018-06-27,139.76,17471.64,17611.40,0
111504961725,120,1,2018-02-02,276.00,1787.71,2063.71,0
111504961725,120,2,2018-03-02,265.27,1798.44,2063.71,0
111504961725,120,3,2018-04-02,254.48,1809.23,2063.71,0
111504961725,120,4,2018-05-02,243.63,1820.08,2063.71,0
111504961725,120,5,2018-06-02,232.71,1831.00,2063.71,0
111504961725,120,6,2018-07-02,221.72,1841.99,2063.71,0
111504961725,120,7,2018-08-02,210.67,1853.04,2063.71,0
111504961725,120,8,2018-09-02,199.55,1864.16,2063.71,0
111504961725,120,9,2018-10-02,188.37,1875.34,2063.71,0
111504961725,120,10,2018-11-02,177.11,1886.60,2063.71,0
111504961725,120,11,2018-12-02,165.79,1897.92,2063.71,0
111504961725,120,12,2019-01-02,154.41,1909.30,2063.71,0
111504961725,120,13,2019-02-02,142.95,1920.76,2063.71,0
111504961725,120,14,2019-03-02,131.43,1932.28,2063.71,0
111504961725,120,15,2019-04-02,119.83,1943.88,2063.71,0
111504961725,120,16,2019-05-02,108.17,1955.54,2063.71,0
111504961725,120,17,2019-06-02,96.44,1967.27,2063.71,0
111504961725,120,18,2019-07-02,84.63,1979.08,2063.71,0
111504961725,120,19,2019-08-02,72.76,1990.95,2063.71,0
111504961725,120,20,2019-09-02,60.81,2002.90,2063.71,0
111504961725,120,21,2019-10-02,48.79,2014.92,2063.71,0
111504961725,120,22,2019-11-02,36.71,2027.00,2063.71,0
111504961725,120,23,2019-12-02,24.54,2039.17,2063.71,0
111504961725,120,24,2020-01-02,12.27,2051.44,2063.71,0
410043330694,109,1,2018-05-25,4644.00,40848.53,45492.53,0
410043330694,109,2,2018-06-25,4398.91,41093.62,45492.53,0
410043330694,109,3,2018-07-25,4152.35,41340.18,45492.53,0
410043330694,109,4,2018-08-25,3904.31,41588.22,45492.53,0
410043330694,109,5,2018-09-25,3654.78,41837.75,45492.53,0
410043330694,109,6,2018-10-25,3403.75,42088.78,45492.53,0
410043330694,109,7,2018-11-25,3151.22,42341.31,45492.53,0
410043330694,109,8,2018-12-25,2897.17,42595.36,45492.53,0
410043330694,109,9,2019-01-25,2641.60,42850.93,45492.53,0
410043330694,109,10,2019-02-25,2384.49,43108.04,45492.53,0
410043330694,109,11,2019-03-25,2125.84,43366.69,45492.53,0
410043330694,109,12,2019-04-25,1865.64,43626.89,45492.53,0
410043330694,109,13,2019-05-25,1603.88,43888.65,45492.53,0
410043330694,109,14,2019-06-25,1340.55,44151.98,45492.53,0
410043330694,109,15,2019-07-25,1075.64,44416.89,45492.53,0
410043330694,109,16,2019-08-25,809.14,44683.39,45492.53,0
410043330694,109,17,2019-09-25,541.04,44951.49,45492.53,0
410043330694,109,18,2019-10-25,271.23,45221.30,45492.53,0
261087765958,119,1,2018-05-13,15288.00,152363.95,167651.95,0
261087765958,119,2,2018-06-13,14069.09,153582.86,167651.95,0
261087765958,119,3,2018-07-13,12840.43,154811.52,167651.95,0
261087765958,119,4,2018-08-13,11601.93,156050.02,167651.95,0
261087765958,119,5,2018-09-13,10353.53,157298.42,167651.95,0
261087765958,119,6,2018-10-13,9095.15,158556.80,167651.95,0
261087765958,119,7,2018-11-13,7826.69,159825.26,167651.95,0
261087765958,119,8,2018-12-13,6548.09,161103.86,167651.95,0
261087765958,119,9,2019-01-13,5259.26,162392.69,167651.95,0
261087765958,119,10,2019-02-13,3960.12,163691.83,167651.95,0
261087765958,119,11,2019-03-13,2650.58,165001.37,167651.95,0
261087765958,119,12,2019-04-13,1330.53,166321.42,167651.95,0
180937418435,114,1,2018-03-16,2072.00,0.00,2072.00,0
180937418435,114,2,2018-04-16,2072.00,0.00,2072.00,0
180937418435,114,3,2018-05-16,2072.00,259000.00,261072.00,0
131770998358,100,1,2018-02-03,24402.00,1347565.11,1371967.11,0
131770998358,100,2,2018-03-03,16316.61,1355650.50,1371967.11,0
131770998358,100,3,2018-04-03,8182.72,1363784.39,1371967.11,0
060972698633,108,1,2018-05-07,114.00,1055.48,1169.48,0
060972698633,108,2,2018-06-07,107.67,1055.56,1163.22,0
060972698633,108,3,2018-07-07,101.33,1055.56,1156.89,0
060972698633,108,4,2018-08-07,95.00,1055.56,1150.56,0
060972698633,108,5,2018-09-07,88.67,1055.56,1144.22,0
060972698633,108,6,2018-10-07,82.33,1055.56,1137.89,0
060972698633,108,7,2018-11-07,76.00,1055.56,1131.56,0
060972698633,108,8,2018-12-07,69.67,1055.56,1125.22,0
060972698633,108,9,2019-01-07,63.33,1055.56,1118.89,0
060972698633,108,10,2019-02-07,57.00,1055.56,1112.56,0
060972698633,108,11,2019-03-07,50.67,1055.56,1106.22,0
060972698633,108,12,2019-04-07,44.33,1055.56,1099.89,0
060972698633,108,13,2019-05-07,38.00,1055.56,1093.56,0
060972698633,108,14,2019-06-07,31.67,1055.56,1087.22,0
060972698633,108,15,2019-07-07,25.33,1055.56,1080.89,0
060972698633,108,16,2019-08-07,19.00,1055.56,1074.56,0
060972698633,108,17,2019-09-07,12.67,1055.56,1068.22,0
060972698633,108,18,2019-10-07,6.33,1055.56,1061.89,0
271479596712,120,1,2018-06-06,1407.00,33500.00,34907.00,0
271479596712,120,2,2018-07-06,1172.50,33500.00,34672.50,0
271479596712,120,3,2018-08-06,938.00,33500.00,34438.00,0
271479596712,120,4,2018-09-06,703.50,33500.00,34203.50,0
271479596712,120,5,2018-10-06,469.00,33500.00,33969.00,0
271479596712,120,6,2018-11-06,234.50,33500.00,33734.50,0
400052040800,102,1,2018-02-21,32456.00,1341572.14,1374028.14,0
400052040800,102,2,2018-03-21,21723.42,1352304.72,1374028.14,0
400052040800,102,3,2018-04-21,10905.00,1363123.14,1374028.14,0
250836155270,103,1,2018-07-09,7344.00,73192.10,80536.10,0
250836155270,103,2,2018-08-09,6758.46,73777.64,80536.10,0
250836155270,103,3,2018-09-09,6168.24,74367.86,80536.10,0
250836155270,103,4,2018-10-09,5573.30,74962.80,80536.10,0
250836155270,103,5,2018-11-09,4973.60,75562.50,80536.10,0
250836155270,103,6,2018-12-09,4369.10,76167.00,80536.10,0
250836155270,103,7,2019-01-09,3759.76,76776.34,80536.10,0
250836155270,103,8,2019-02-09,3145.55,77390.55,80536.10,0
250836155270,103,9,2019-03-09,2526.43,78009.67,80536.10,0
250836155270,103,10,2019-04-09,1902.35,78633.75,80536.10,0
250836155270,103,11,2019-05-09,1273.28,79262.82,80536.10,0
250836155270,103,12,2019-06-09,639.13,79896.97,80536.10,0
151173971176,103,1,2018-02-15,4104.00,38000.00,42104.00,0
151173971176,103,2,2018-03-15,3876.00,38000.00,41876.00,0
151173971176,103,3,2018-04-15,3648.00,38000.00,41648.00,0
151173971176,103,4,2018-05-15,3420.00,38000.00,41420.00,0
151173971176,103,5,2018-06-15,3192.00,38000.00,41192.00,0
151173971176,103,6,2018-07-15,2964.00,38000.00,40964.00,0
151173971176,103,7,2018-08-15,2736.00,38000.00,40736.00,0
151173971176,103,8,2018-09-15,2508.00,38000.00,40508.00,0
151173971176,103,9,2018-10-15,2280.00,38000.00,40280.00,0
151173971176,103,10,2018-11-15,2052.00,38000.00,40052.00,0
151173971176,103,11,2018-12-15,1824.00,38000.00,39824.00,0
151173971176,103,12,2019-01-15,1596.00,38000.00,39596.00,0
151173971176,103,13,2019-02-15,1368.00,38000.00,39368.00,0
151173971176,103,14,2019-03-15,1140.00,38000.00,39140.00,0
151173971176,103,15,2019-04-15,912.00,38000.00,38912.00,0
151173971176,103,16,2019-05-15,684.00,38000.00,38684.00,0
151173971176,103,17,2019-06-15,456.00,38000.00,38456.00,0
151173971176,103,18,2019-07-15,228.00,38000.00,38228.00,0
060945063680,103,1,2018-06-13,12699.00,0.00,12699.00,0
060945063680,103,2,2018-07-13,12699.00,0.00,12699.00,0
060945063680,103,3,2018-08-13,12699.00,0.00,12699.00,0
060945063680,103,4,2018-09-13,12699.00,0.00,12699.00,0
060945063680,103,5,2018-10-13,12699.00,0.00,12699.00,0
060945063680,103,6,2018-11-13,12699.00,0.00,12699.00,0
060945063680,103,7,2018-12-13,12699.00,0.00,12699.00,0
060945063680,103,8,2019-01-13,12699.00,0.00,12699.00,0
060945063680,103,9,2019-02-13,12699.00,0.00,12699.00,0
060945063680,103,10,2019-03-13,12699.00,0.00,12699.00,0
060945063680,103,11,2019-04-13,12699.00,0.00,12699.00,0
060945063680,103,12,2019-05-13,12699.00,1411000.00,1423699.00,0
161026779603,106,1,2018-02-15,6440.00,38333.41,44773.41,0
161026779603,106,2,2018-03-15,6171.67,38333.33,44505.00,0
161026779603,106,3,2018-04-15,5903.33,38333.33,44236.67,0
161026779603,106,4,2018-05-15,5635.00,38333.33,43968.33,0
161026779603,106,5,2018-06-15,5366.67,38333.33,43700.00,0
161026779603,106,6,2018-07-15,5098.33,38333.33,43431.67,0
161026779603,106,7,2018-08-15,4830.00,38333.33,43163.33,0
161026779603,106,8,2018-09-15,4561.67,38333.33,42895.00,0
161026779603,106,9,2018-10-15,4293.33,38333.33,42626.67,0
161026779603,106,10,2018-11-15,4025.00,38333.33,42358.33,0
161026779603,106,11,2018-12-15,3756.67,38333.33,42090.00,0
161026779603,106,12,2019-01-15,3488.33,38333.33,41821.67,0
161026779603,106,13,2019-02-15,3220.00,38333.33,41553.33,0
161026779603,106,14,2019-03-15,2951.67,38333.33,41285.00,0
161026779603,106,15,2019-04-15,2683.33,38333.33,41016.67,0
161026779603,106,16,2019-05-15,2415.00,38333.33,40748.33,0
161026779603,106,17,2019-06-15,2146.67,38333.33,40480.00,0
161026779603,106,18,2019-07-15,1878.33,38333.33,40211.67,0
161026779603,106,19,2019-08-15,1610.00,38333.33,39943.33,0
161026779603,106,20,2019-09-15,1341.67,38333.33,39675.00,0
161026779603,106,21,2019-10-15,1073.33,38333.33,39406.67,0
161026779603,106,22,2019-11-15,805.00,38333.33,39138.33,0
161026779603,106,23,2019-12-15,536.67,38333.33,38870.00,0
161026779603,106,24,2020-01-15,268.33,38333.33,38601.67,0
070866907361,101,1,2018-06-01,2640.00,23221.39,25861.39,0
070866907361,101,2,2018-07-01,2500.67,23360.72,25861.39,0
070866907361,101,3,2018-08-01,2360.51,23500.88,25861.39,0
070866907361,101,4,2018-09-01,2219.50,23641.89,25861.39,0
070866907361,101,5,2018-10-01,2077.65,23783.74,25861.39,0
070866907361,101,6,2018-11-01,1934.95,23926.44,25861.39,0
070866907361,101,7,2018-12-01,1791.39,24070.00,25861.39,0
070866907361,101,8,2019-01-01,1646.97,24214.42,25861.39,0
070866907361,101,9,2019-02-01,1501.68,24359.71,25861.39,0
070866907361,101,10,2019-03-01,1355.52,24505.87,25861.39,0
070866907361,101,11,2019-04-01,1208.49,24652.90,25861.39,0
070866907361,101,12,2019-05-01,1060.57,24800.82,25861.39,0
070866907361,101,13,2019-06-01,911.77,24949.62,25861.39,0
070866907361,101,14,2019-07-01,762.07,25099.32,25861.39,0
070866907361,101,15,2019-08-01,611.47,25249.92,25861.39,0
070866907361,101,16,2019-09-01,459.97,25401.42,25861.39,0
070866907361,101,17,2019-10-01,307.57,25553.82,25861.39,0
070866907361,101,18,2019-11-01,154.27,25707.12,25861.39,0
060937642747,107,1,2018-07-03,310.00,1722.26,2032.26,0
060937642747,107,2,2018-08-03,292.78,1722.22,2015.00,0
060937642747,107,3,2018-09-03,275.56,1722.22,1997.78,0
060937642747,107,4,2018-10-03,258.33,1722.22,1980.56,0
060937642747,107,5,2018-11-03,241.11,1722.22,1963.33,0
060937642747,107,6,2018-12-03,223.89,1722.22,1946.11,0
060937642747,107,7,2019-01-03,206.67,1722.22,1928.89,0
060937642747,107,8,2019-02-03,189.44,1722.22,1911.67,0
060937642747,107,9,2019-03-03,172.22,1722.22,1894.44,0
060937642747,107,10,2019-04-03,155.00,1722.22,1877.22,0
060937642747,107,11,2019-05-03,137.78,1722.22,1860.00,0
060937642747,107,12,2019-06-03,120.56,1722.22,1842.78,0
060937642747,107,13,2019-07-03,103.33,1722.22,1825.56,0
060937642747,107,14,2019-08-03,86.11,1722.22,1808.33,0
060937642747,107,15,2019-09-03,68.89,1722.22,1791.11,0
060937642747,107,16,2019-10-03,51.67,1722.22,1773.89,0
060937642747,107,17,2019-11-03,34.44,1722.22,1756.67,0
060937642747,107,18,2019-12-03,17.22,1722.22,1739.44,0
271467053373,113,1,2018-06-22,6888.00,328000.00,334888.00,0
271467053373,113,2,2018-07-22,4592.00,328000.00,332592.00,0
271467053373,113,3,2018-08-22,2296.00,328000.00,330296.00,0
150216277816,109,1,2018-02-01,1269.00,11179.66,12448.66,0
150216277816,109,2,2018-03-01,1168.38,11280.28,12448.66,0
150216277816,109,3,2018-04-01,1066.86,11381.80,12448.66,0
150216277816,109,4,2018-05-01,964.42,11484.24,12448.66,0
150216277816,109,5,2018-06-01,861.07,11587.59,12448.66,0
150216277816,109,6,2018-07-01,756.78,11691.88,12448.66,0
150216277816,109,7,2018-08-01,651.55,11797.11,12448.66,0
150216277816,109,8,2018-09-01,545.38,11903.28,12448.66,0
150216277816,109,9,2018-10-01,438.25,12010.41,12448.66,0
150216277816,109,10,2018-11-01,330.15,12118.51,12448.66,0
150216277816,109,11,2018-12-01,221.09,12227.57,12448.66,0
150216277816,109,12,2019-01-01,110.99,12337.67,12448.66,0
070645470647,120,1,2018-02-28,17037.00,625354.92,642391.92,0
