协议编号,借据编号,借据金额,借据币种,剩余本金,借据利率,借据期限,期限单位,还款方式,还款顺序,罚息利率,提前还款标志,提前还款费率,展期标志,展期费率,生效日期,到期日期,借据状态,欠款期数,起欠期数,欠还利息,欠还本金,欠还金额
040314660045,110,234000.00,156,234000.00,10.8,6,1,0,0,0.5,1,0.0,0,3.0,2018-05-05,2018-11-05,0,0,0,0.00,0.00,0.00
251533251213,120,816000.00,156,816000.00,7.2,6,1,2,0,1.5,0,1.0,0,4.0,2018-02-07,2018-08-07,0,0,0,0.00,0.00,0.00
200417440082,114,3235000.00,156,3235000.00,10.8,24,1,1,0,1.5,0,1.0,1,0.0,2018-02-22,2020-02-22,0,0,0,0.00,0.00,0.00
180922887334,112,34000.00,156,34000.00,7.2,3,1,1,0,1.2,1,0.0,0,3.0,2018-06-13,2018-09-13,0,0,0,0.00,0.00,0.00
110206431171,107,109000.00,156,109000.00,7.2,24,1,0,0,0.5,0,2.0,0,5.0,2018-01-21,2020-01-21,0,0,0,0.00,0.00,0.00
160413995463,117,38000.00,156,38000.00,12.0,18,1,2,0,1.2,1,0.0,0,3.0,2018-01-29,2019-07-29,0,0,0,0.00,0.00,0.00
080813930886,108,49000.00,156,49000.00,7.2,18,1,2,0,1.2,1,0.0,0,4.0,2018-04-09,2019-10-09,0,0,0,0.00,0.00,0.00
120692021218,105,52000.00,156,52000.00,9.6,3,1,0,0,1.2,1,0.0,0,5.0,2018-03-27,2018-06-27,0,0,0,0.00,0.00,0.00
111504961725,120,46000.00,156,46000.00,7.2,24,1,0,0,1.5,1,0.0,0,4.0,2018-01-02,2020-01-02,0,0,0,0.00,0.00,0.00
410043330694,109,774000.00,156,774000.00,7.2,18,1,0,0,0.5,1,0.0,0,5.0,2018-04-25,2019-10-25,0,0,0,0.00,0.00,0.00
261087765958,119,1911000.00,156,1911000.00,9.6,12,1,0,0,1.5,0,3.0,0,3.0,2018-04-13,2019-04-13,0,0,0,0.00,0.00,0.00
180937418435,114,259000.00,156,259000.00,9.6,3,1,2,0,1.5,0,1.0,0,5.0,2018-02-16,2018-05-16,0,0,0,0.00,0.00,0.00
131770998358,100,4067000.00,156,4067000.00,7.2,3,1,0,0,1.0,1,0.0,1,0.0,2018-01-03,2018-04-03,0,0,0,0.00,0.00,0.00
060972698633,108,19000.00,156,19000.00,7.2,18,1,1,0,1.0,0,3.0,1,0.0,2018-04-07,2019-10-07,0,0,0,0.00,0.00,0.00
271479596712,120,201000.00,156,201000.00,8.4,6,1,1,0,0.8,1,0.0,0,3.0,2018-05-06,2018-11-06,0,0,0,0.00,0.00,0.00
400052040800,102,4057000.00,156,4057000.00,9.6,3,1,0,0,0.8,0,3.0,1,0.0,2018-01-21,2018-04-21,0,0,0,0.00,0.00,0.00
250836155270,103,918000.00,156,918000.00,9.6,12,1,0,0,1.5,0,1.0,1,0.0,2018-06-09,2019-06-09,0,0,0,0.00,0.00,0.00
151173971176,103,684000.00,156,684000.00,7.2,18,1,1,0,1.2,1,0.0,1,0.0,2018-01-15,2019-07-15,0,0,0,0.00,0.00,0.00
060945063680,103,1411000.00,156,1411000.00,10.8,12,1,2,0,0.8,1,0.0,0,3.0,2018-05-13,2019-05-13,0,0,0,0.00,0.00,0.00
161026779603,106,920000.00,156,920000.00,8.4,24,1,1,0,1.0,0,2.0,0,4.0,2018-01-15,2020-01-15,0,0,0,0.00,0.00,0.00
070866907361,101,440000.00,156,440000.00,7.2,18,1,0,0,1.2,1,0.0,0,5.0,2018-05-01,2019-11-01,0,0,0,0.00,0.00,0.00
060937642747,107,31000.00,156,31000.00,12.0,18,1,1,0,1.2,0,1.0,0,3.0,2018-06-03,2019-12-03,0,0,0,0.00,0.00,0.00
271467053373,113,984000.00,156,984000.00,8.4,3,1,1,0,1.5,0,1.0,0,3.0,2018-05-22,2018-08-22,0,0,0,0.00,0.00,0.00
150216277816,109,141000.00,156,141000.00,10.8,12,1,0,0,0.8,1,0.0,1,0.0,2018-01-01,2019-01-01,0,0,0,0.00,0.00,0.00
070645470647,120,1893000.00,156,1893000.00,10.8,3,1,0,0,1.5,1,0.0,1,0.0,2018-01-28,2018-04-28,0,0,0,0.00,0.00,0.00
070572898435,108,481000.00,156,481000.00,7.2,24,1,1,0,0.5,1,0.0,0,5.0,2018-01-13,2020-01-13,0,0,0,0.00,0.00,0.00
260288489965,113,2761000.00,156,2761000.00,10.8,12,1,1,0,1.2,1,0.0,0,3.0,2018-05-25,2019-05-25,0,0,0,0.00,0.00,0.00
181270894595,102,853000.00,156,853000.00,8.4,12,1,0,0,1.5,0,2.0,1,0.0,2018-02-12,2019-02-12,0,0,0,0.00,0.00,0.00
160636118060,120,182000.00,156,182000.00,12.0,18,1,2,0,0.5,1,0.0,0,5.0,2018-02-16,2019-08-16,0,0,0,0.00,0.00,0.00
111070424892,101,165000.00,156,165000.00,7.2,18,1,2,0,1.5,1,0.0,1,0.0,2018-05-25,2019-11-25,0,0,0,0.00,0.00,0.00
061086695570,120,1554000.00,156,1554000.00,7.2,24,1,0,0,0.8,1,0.0,1,0.0,2018-03-08,2020-03-08,0,0,0,0.00,0.00,0.00
400076473204,111,25000.00,156,25000.00,9.6,3,1,0,0,1.0,1,0.0,1,0.0,2018-03-31,2018-06-30,0,0,0,0.00,0.00,0.00
190877888219,114,821000.00,156,821000.00,9.6,18,1,0,0,1.0,0,3.0,0,5.0,2018-05-01,2019-11-01,0,0,0,0.00,0.00,0.00
300253070097,114,233000.00,156,233000.00,12.0,12,1,1,0,0.5,0,3.0,1,0.0,2018-07-21,2019-07-21,0,0,0,0.00,0.00,0.00
110725254819,107,233000.00,156,233000.00,8.4,6,1,0,0,0.8,1,0.0,1,0.0,2018-04-12,2018-10-12,0,0,0,0.00,0.00,0.00
181254466440,105,809000.00,156,809000.00,10.8,18,1,1,0,1.0,1,0.0,1,0.0,2018-07-28,2020-01-28,0,0,0,0.00,0.00,0.00
240502510431,106,535000.00,156,535000.00,12.0,12,1,1,0,0.8,0,3.0,0,4.0,2018-03-29,2019-03-29,0,0,0,0.00,0.00,0.00
260956222389,114,14000.00,156,14000.00,8.4,12,1,0,0,0.8,0,3.0,0,3.0,2018-03-30,2019-03-30,0,0,0,0.00,0.00,0.00
060611467848,112,294000.00,156,294000.00,7.2,24,1,1,0,1.0,0,3.0,0,5.0,2018-03-08,2020-03-08,0,0,0,0.00,0.00,0.00
171306707836,104,214000.00,156,214000.00,7.2,12,1,1,0,1.2,1,0.0,1,0.0,2018-01-11,2019-01-11,0,0,0,0.00,0.00,0.00
060636548291,111,729000.00,156,729000.00,8.4,6,1,2,0,1.0,0,3.0,1,0.0,2018-06-07,2018-12-07,0,0,0,0.00,0.00,0.00
200428477090,120,1923000.00,156,1923000.00,7.2,18,1,0,0,1.0,1,0.0,0,4.0,2018-03-31,2019-09-30,0,0,0,0.00,0.00,0.00
071362664367,113,931000.00,156,931000.00,7.2,24,1,0,0,0.5,1,0.0,0,4.0,2018-06-30,2020-06-30,0,0,0,0.00,0.00,0.00
261059175351,106,6000.00,156,6000.00,12.0,3,1,0,0,1.2,1,0.0,0,4.0,2018-01-18,2018-04-18,0,0,0,0.00,0.00,0.00
410034795122,101,470000.00,156,470000.00,7.2,24,1,1,0,0.5,0,2.0,1,0.0,2018-04-20,2020-04-20,0,0,0,0.00,0.00,0.00
181116476063,120,34000.00,156,34000.00,12.0,6,1,1,0,0.8,0,1.0,1,0.0,2018-03-12,2018-09-12,0,0,0,0.00,0.00,0.00
070594711095,106,266000.00,156,266000.00,12.0,6,1,1,0,1.2,1,0.0,0,5.0,2018-04-10,2018-10-10,0,0,0,0.00,0.00,0.00
180490906247,106,35000.00,156,35000.00,9.6,6,1,0,0,1.2,0,1.0,1,0.0,2018-05-03,2018-11-03,0,0,0,0.00,0.00,0.00
261039944410,113,1181000.00,156,1181000.00,7.2,24,1,0,0,1.2,1,0.0,0,5.0,2018-06-10,2020-06-10,0,0,0,0.00,0.00,0.00
250868772473,101,728000.00,156,728000.00,7.2,18,1,2,0,0.8,0,3.0,1,0.0,2018-07-05,2020-01-05,0,0,0,0.00,0.00,0.00
300685254388,120,17000.00,156,17000.00,12.0,12,1,2,0,1.0,1,0.0,1,0.0,2018-03-02,2019-03-02,0,0,0,0.00,0.00,0.00
140661354524,101,147000.00,156,147000.00,9.6,12,1,2,0,0.5,0,2.0,0,4.0,2018-06-17,2019-06-17,0,0,0,0.00,0.00,0.00
120629593130,120,2538000.00,156,2538000.00,8.4,18,1,0,0,1.0,0,2.0,0,5.0,2018-04-17,2019-10-17,0,0,0,0.00,0.00,0.00
230230155932,103,9000.00,156,9000.00,7.2,18,1,1,0,1.5,0,1.0,1,0.0,2018-06-21,2019-12-21,0,0,0,0.00,0.00,0.00
121002999906,115,3109000.00,156,3109000.00,10.8,18,1,2,0,0.8,1,0.0,0,4.0,2018-07-03,2020-01-03,0,0,0,0.00,0.00,0.00
290423168637,110,908000.00,156,908000.00,7.2,24,1,1,0,1.2,1,0.0,0,3.0,2018-07-15,2020-07-15,0,0,0,0.00,0.00,0.00
300579790040,102,22000.00,156,22000.00,7.2,24,1,2,0,1.0,1,0.0,0,5.0,2018-04-02,2020-04-02,0,0,0,0.00,0.00,0.00
150954547173,100,289000.00,156,289000.00,8.4,3,1,2,0,1.5,1,0.0,1,0.0,2018-05-28,2018-08-28,0,0,0,0.00,0.00,0.00
260980358574,113,836000.00,156,836000.00,7.2,24,1,2,0,1.2,1,0.0,0,5.0,2018-04-17,2020-04-17,0,0,0,0.00,0.00,0.00
151198078034,110,4815000.00,156,4815000.00,12.0,18,1,1,0,0.5,1,0.0,0,5.0,2018-01-28,2019-07-28,0,0,0,0.00,0.00,0.00
400048788331,106,13000.00,156,13000.00,12.0,12,1,2,0,1.0,0,3.0,1,0.0,2018-03-03,2019-03-03,0,0,0,0.00,0.00,0.00
061066953411,107,50000.00,156,50000.00,7.2,18,1,0,0,0.8,0,3.0,1,0.0,2018-01-22,2019-07-22,0,0,0,0.00,0.00,0.00
150918158644,101,63000.00,156,63000.00,8.4,18,1,1,0,0.8,1,0.0,1,0.0,2018-07-12,2020-01-12,0,0,0,0.00,0.00,0.00
110228246915,101,146000.00,156,146000.00,12.0,12,1,1,0,0.5,0,1.0,1,0.0,2018-07-14,2019-07-14,0,0,0,0.00,0.00,0.00
160462206448,107,1510000.00,156,1510000.00,9.6,12,1,0,0,1.2,1,0.0,1,0.0,2018-06-06,2019-06-06,0,0,0,0.00,0.00,0.00
071359662921,103,1266000.00,156,1266000.00,7.2,6,1,2,0,0.8,1,0.0,1,0.0,2018-02-07,2018-08-07,0,0,0,0.00,0.00,0.00
200327215841,102,50000.00,156,50000.00,10.8,3,1,0,0,1.5,1,0.0,0,4.0,2018-02-25,2018-05-25,0,0,0,0.00,0.00,0.00
071533305921,119,1212000.00,156,1212000.00,7.2,18,1,0,0,1.0,1,0.0,1,0.0,2018-07-01,2020-01-01,0,0,0,0.00,0.00,0.00
040983190133,102,844000.00,156,844000.00,8.4,24,1,1,0,1.0,0,1.0,1,0.0,2018-01-05,2020-01-05,0,0,0,0.00,0.00,0.00
210750537327,107,99000.00,156,99000.00,8.4,12,1,1,0,1.5,0,3.0,1,0.0,2018-06-05,2019-06-05,0,0,0,0.00,0.00,0.00
210767813965,105,45000.00,156,45000.00,10.8,12,1,0,0,1.5,1,0.0,1,0.0,2018-03-15,2019-03-15,0,0,0,0.00,0.00,0.00
171363045512,113,1475000.00,156,1475000.00,7.2,24,1,1,0,1.2,1,0.0,1,0.0,2018-02-01,2020-02-01,0,0,0,0.00,0.00,0.00
270350115024,108,637000.00,156,637000.00,12.0,18,1,0,0,1.5,0,2.0,0,5.0,2018-07-15,2020-01-15,0,0,0,0.00,0.00,0.00
210759595096,115,258000.00,156,258000.00,9.6,12,1,0,0,1.5,1,0.0,1,0.0,2018-02-13,2019-02-13,0,0,0,0.00,0.00,0.00
111072592205,110,3480000.00,156,3480000.00,10.8,3,1,2,0,1.2,1,0.0,0,5.0,2018-01-20,2018-04-20,0,0,0,0.00,0.00,0.00
160296060869,100,11000.00,156,11000.00,7.2,24,1,0,0,0.8,1,0.0,1,0.0,2018-07-25,2020-07-25,0,0,0,0.00,0.00,0.00
071303490243,120,113000.00,156,113000.00,9.6,24,1,1,0,1.5,0,3.0,0,5.0,2018-02-25,2020-02-25,0,0,0,0.00,0.00,0.00
071365044605,120,155000.00,156,155000.00,7.2,3,1,0,0,1.5,1,0.0,1,0.0,2018-06-18,2018-09-18,0,0,0,0.00,0.00,0.00
110200744988,105,34000.00,156,34000.00,10.8,6,1,0,0,1.0,1,0.0,1,0.0,2018-07-17,2019-01-17,0,0,0,0.00,0.00,0.00
121059317003,105,37000.00,156,37000.00,9.6,12,1,0,0,1.2,1,0.0,1,0.0,2018-07-04,2019-07-04,0,0,0,0.00,0.00,0.00
380375864870,119,470000.00,156,470000.00,8.4,12,1,0,0,0.8,1,0.0,1,0.0,2018-06-10,2019-06-10,0,0,0,0.00,0.00,0.00
070543957394,119,25000.00,156,25000.00,8.4,6,1,2,0,1.2,0,3.0,1,0.0,2018-02-12,2018-08-12,0,0,0,0.00,0.00,0.00
050775897873,105,4000.00,156,4000.00,9.6,3,1,1,0,1.2,0,3.0,1,0.0,2018-01-25,2018-04-25,0,0,0,0.00,0.00,0.00
260298268889,115,671000.00,156,671000.00,8.4,24,1,2,0,0.5,1,0.0,1,0.0,2018-05-23,2020-05-23,0,0,0,0.00,0.00,0.00
110242156818,103,1549000.00,156,1549000.00,7.2,3,1,1,0,1.2,0,1.0,0,3.0,2018-03-01,2018-06-01,0,0,0,0.00,0.00,0.00
290203555634,104,491000.00,156,491000.00,8.4,12,1,2,0,1.0,0,2.0,0,3.0,2018-01-20,2019-01-20,0,0,0,0.00,0.00,0.00
390191062356,120,39000.00,156,39000.00,9.6,3,1,0,0,1.2,0,1.0,1,0.0,2018-05-29,2018-08-29,0,0,0,0.00,0.00,0.00
280627779523,118,576000.00,156,576000.00,7.2,6,1,1,0,1.5,1,0.0,0,4.0,2018-02-21,2018-08-21,0,0,0,0.00,0.00,0.00
071360973845,100,2507000.00,156,2507000.00,7.2,6,1,1,0,1.2,0,2.0,0,4.0,2018-04-22,2018-10-22,0,0,0,0.00,0.00,0.00
210754499772,115,23000.00,156,23000.00,12.0,3,1,0,0,1.0,0,1.0,0,5.0,2018-06-09,2018-09-09,0,0,0,0.00,0.00,0.00
301004510964,120,2723000.00,156,2723000.00,9.6,18,1,0,0,0.8,0,2.0,1,0.0,2018-07-18,2020-01-18,0,0,0,0.00,0.00,0.00
271008146079,101,240000.00,156,240000.00,8.4,6,1,0,0,1.2,1,0.0,0,5.0,2018-01-04,2018-07-04,0,0,0,0.00,0.00,0.00
070574183958,120,492000.00,156,492000.00,10.8,12,1,2,0,1.0,1,0.0,1,0.0,2018-07-27,2019-07-27,0,0,0,0.00,0.00,0.00
390165645605,113,795000.00,156,795000.00,8.4,3,1,1,0,1.5,0,1.0,0,4.0,2018-02-28,2018-05-28,0,0,0,0.00,0.00,0.00
160841281849,114,45000.00,156,45000.00,8.4,18,1,0,0,0.5,0,2.0,0,5.0,2018-07-10,2020-01-10,0,0,0,0.00,0.00,0.00
040912569461,106,1825000.00,156,1825000.00,8.4,6,1,1,0,0.8,0,3.0,0,5.0,2018-06-05,2018-12-05,0,0,0,0.00,0.00,0.00
121088293818,106,85000.00,156,85000.00,12.0,3,1,1,0,0.5,0,2.0,1,0.0,2018-05-05,2018-08-05,0,0,0,0.00,0.00,0.00
061078278845,115,18000.00,156,18000.00,7.2,6,1,1,0,0.8,1,0.0,1,0.0,2018-05-22,2018-11-22,0,0,0,0.00,0.00,0.00
131786689670,116,572000.00,156,572000.00,12.0,18,1,0,0,0.8,0,1.0,0,5.0,2018-02-09,2019-08-09,0,0,0,0.00,0.00,0.00
071368980926,107,3899000.00,156,3899000.00,10.8,3,1,2,0,1.5,1,0.0,0,5.0,2018-05-17,2018-08-17,0,0,0,0.00,0.00,0.00
160608407400,114,75000.00,156,75000.00,10.8,6,1,1,0,0.5,1,0.0,0,4.0,2018-02-10,2018-08-10,0,0,0,0.00,0.00,0.00
200930102914,106,4828000.00,156,4828000.00,12.0,12,1,0,0,0.8,0,3.0,1,0.0,2018-04-30,2019-04-30,0,0,0,0.00,0.00,0.00
270314607749,115,370000.00,156,370000.00,8.4,3,1,0,0,0.8,1,0.0,0,3.0,2018-02-06,2018-05-06,0,0,0,0.00,0.00,0.00
230251423573,105,96000.00,156,96000.00,7.2,12,1,2,0,0.8,1,0.0,1,0.0,2018-01-30,2019-01-30,0,0,0,0.00,0.00,0.00
071578943519,110,495000.00,156,495000.00,12.0,6,1,1,0,1.0,1,0.0,0,3.0,2018-03-24,2018-09-24,0,0,0,0.00,0.00,0.00
160845158164,115,984000.00,156,984000.00,7.2,3,1,1,0,0.5,1,0.0,1,0.0,2018-03-30,2018-06-30,0,0,0,0.00,0.00,0.00
200420586830,101,334000.00,156,334000.00,9.6,3,1,0,0,1.0,0,1.0,0,4.0,2018-06-18,2018-09-18,0,0,0,0.00,0.00,0.00
070690734176,111,97000.00,156,97000.00,12.0,6,1,0,0,1.2,0,3.0,0,5.0,2018-05-05,2018-11-05,0,0,0,0.00,0.00,0.00
410073384471,116,461000.00,156,461000.00,7.2,18,1,0,0,1.5,1,0.0,0,4.0,2018-02-10,2019-08-10,0,0,0,0.00,0.00,0.00
110256797219,120,236000.00,156,236000.00,7.2,24,1,1,0,0.8,0,2.0,0,4.0,2018-02-25,2020-02-25,0,0,0,0.00,0.00,0.00
270846121210,100,1166000.00,156,1166000.00,12.0,18,1,1,0,1.0,1,0.0,1,0.0,2018-05-13,2019-11-13,0,0,0,0.00,0.00,0.00
171365010578,106,1150000.00,156,1150000.00,7.2,3,1,0,0,1.5,0,3.0,0,3.0,2018-02-05,2018-05-05,0,0,0,0.00,0.00,0.00
181190927205,103,47000.00,156,47000.00,12.0,24,1,1,0,1.5,0,2.0,0,4.0,2018-06-13,2020-06-13,0,0,0,0.00,0.00,0.00
181127873579,117,22000.00,156,22000.00,10.8,6,1,1,0,0.5,0,1.0,1,0.0,2018-03-15,2018-09-15,0,0,0,0.00,0.00,0.00
250828734389,118,24000.00,156,24000.00,8.4,6,1,1,0,1.5,0,2.0,1,0.0,2018-01-30,2018-07-30,0,0,0,0.00,0.00,0.00
260936243226,106,106000.00,156,106000.00,9.6,18,1,0,0,1.0,1,0.0,0,4.0,2018-07-01,2020-01-01,0,0,0,0.00,0.00,0.00
151198392157,116,4880000.00,156,4880000.00,12.0,18,1,1,0,1.5,1,0.0,1,0.0,2018-04-13,2019-10-13,0,0,0,0.00,0.00,0.00
270573586299,111,3103000.00,156,3103000.00,12.0,6,1,2,0,1.0,1,0.0,1,0.0,2018-07-19,2019-01-19,0,0,0,0.00,0.00,0.00
040910490358,100,997000.00,156,997000.00,8.4,12,1,1,0,0.8,0,2.0,1,0.0,2018-05-14,2019-05-14,0,0,0,0.00,0.00,0.00
071583840928,110,438000.00,156,438000.00,8.4,3,1,0,0,1.5,1,0.0,0,3.0,2018-04-15,2018-07-15,0,0,0,0.00,0.00,0.00
270321166547,115,31000.00,156,31000.00,7.2,3,1,1,0,0.8,1,0.0,1,0.0,2018-07-18,2018-10-18,0,0,0,0.00,0.00,0.00
270828307813,111,12000.00,156,12000.00,10.8,6,1,0,0,0.5,1,0.0,1,0.0,2018-06-29,2018-12-29,0,0,0,0.00,0.00,0.00
151194311266,118,27000.00,156,27000.00,9.6,24,1,0,0,1.0,1,0.0,1,0.0,2018-06-27,2020-06-27,0,0,0,0.00,0.00,0.00
160280171728,102,17000.00,156,17000.00,12.0,6,1,2,0,1.2,0,3.0,1,0.0,2018-01-29,2018-07-29,0,0,0,0.00,0.00,0.00
180597398941,104,2454000.00,156,2454000.00,9.6,3,1,2,0,0.5,0,2.0,1,0.0,2018-07-04,2018-10-04,0,0,0,0.00,0.00,0.00
120697766719,102,76000.00,156,76000.00,10.8,6,1,1,0,1.5,0,2.0,0,5.0,2018-04-23,2018-10-23,0,0,0,0.00,0.00,0.00
181106003939,102,967000.00,156,967000.00,7.2,3,1,2,0,0.8,1,0.0,1,0.0,2018-07-11,2018-10-11,0,0,0,0.00,0.00,0.00
180586070999,105,171000.00,156,171000.00,8.4,12,1,2,0,1.2,0,3.0,1,0.0,2018-01-15,2019-01-15,0,0,0,0.00,0.00,0.00
390173344258,102,180000.00,156,180000.00,7.2,6,1,1,0,0.8,0,2.0,0,5.0,2018-05-01,2018-11-01,0,0,0,0.00,0.00,0.00
251044900066,107,835000.00,156,835000.00,9.6,3,1,2,0,0.8,0,3.0,0,3.0,2018-02-22,2018-05-22,0,0,0,0.00,0.00,0.00
240225099498,103,322000.00,156,322000.00,9.6,6,1,1,0,1.0,0,3.0,1,0.0,2018-06-28,2018-12-28,0,0,0,0.00,0.00,0.00
111578876436,118,8000.00,156,8000.00,9.6,12,1,1,0,1.2,1,0.0,1,0.0,2018-01-12,2019-01-12,0,0,0,0.00,0.00,0.00
111565803108,118,102000.00,156,102000.00,12.0,3,1,0,0,0.5,0,1.0,0,3.0,2018-03-03,2018-06-03,0,0,0,0.00,0.00,0.00
160898175798,111,13000.00,156,13000.00,9.6,6,1,2,0,1.0,1,0.0,1,0.0,2018-07-06,2019-01-06,0,0,0,0.00,0.00,0.00
071328835816,108,839000.00,156,839000.00,9.6,6,1,1,0,1.5,1,0.0,1,0.0,2018-07-11,2019-01-11,0,0,0,0.00,0.00,0.00
071363214457,103,2761000.00,156,2761000.00,12.0,24,1,1,0,0.8,1,0.0,0,5.0,2018-06-16,2020-06-16,0,0,0,0.00,0.00,0.00
181233951630,108,26000.00,156,26000.00,7.2,6,1,2,0,1.5,1,0.0,1,0.0,2018-02-15,2018-08-15,0,0,0,0.00,0.00,0.00
110233132520,111,249000.00,156,249000.00,12.0,24,1,0,0,0.5,1,0.0,0,4.0,2018-03-06,2020-03-06,0,0,0,0.00,0.00,0.00
